"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Sam O'Reilly",2006-03-30,"C","Kitchener Rangers",18,1,2,3,0.17,11
"Gabriel Chiarot",2006-09-17,"RW","Kitchener Rangers",18,2,0,2,0.11,18
"AJ Spellacy",2006-02-24,"C","Windsor Spitfires",13,1,0,1,0.08,12
"Carson Campbell",2006-06-08,"RD","Kitchener Rangers",18,1,0,1,0.06,8
"Cole Beaudoin",2006-04-24,"C","Barrie Colts",15,1,0,1,0.07,3
"Cole Davis",2006-06-22,"LW","Windsor Spitfires",13,1,0,1,0.08,8
"Connor Bewick",2006-04-05,"D","Ottawa 67's",9,1,0,1,0.11,33
"Jack Pridham",2005-10-08,"RW","Kitchener Rangers",18,1,0,1,0.06,6
"Kevin He",2006-04-30,"LW","Flint Firebirds",6,1,0,1,0.17,11
"Liam Greentree",2006-01-01,"LW","Windsor Spitfires",13,1,0,1,0.08,7
"Luca Romano",2007-06-25,"C","Kitchener Rangers",18,1,0,1,0.06,12
"Nic Sima",2005-03-31,"RW","Ottawa 67's",9,1,0,1,0.11,17
"Parker Vaughan",2008-03-06,"RW","North Bay Battalion",10,1,0,1,0.1,14
"Ryland Cunningham",2008-06-28,"LW","Flint Firebirds",8,1,0,1,0.12,20
"Sebastien Gervais",2005-04-11,"LW","North Bay Battalion",10,1,0,1,0.1,33
"Adrian Manzo",2007-08-28,"D","North Bay Battalion",10,0,1,1,0.1,50
"Brad Gardiner",2005-03-06,"C","Barrie Colts",21,0,1,1,0.05,5
"Carter Lowe",2006-03-01,"LW","Barrie Colts",21,0,1,1,0.05,11
"Dryden Allen",2007-07-09,"D","Flint Firebirds",8,0,1,1,0.12,25
"Jack Nesbitt",2007-01-12,"C","Windsor Spitfires",13,0,1,1,0.08,10
"Jakub Fibigr",2006-07-22,"D","Windsor Spitfires",13,0,1,1,0.08,8
"Jared Woolley",2006-02-27,"LD","Kitchener Rangers",18,0,1,1,0.06,14
"Jasper Kuhta",2006-10-28,"C","Ottawa 67's",9,0,1,1,0.11,14
"Kaleb Dietsch",2007-01-03,"D","Ottawa 67's",9,0,1,1,0.11,33
"Lirim Amidovski",2006-12-22,"RW","North Bay Battalion",10,0,1,1,0.1,33
"Matthew Andonovski",2005-03-14,"RD","Kitchener Rangers",18,0,1,1,0.06,12
"Aaron Enright",2007-03-28,"D","North Bay Battalion",10,0,0,0,0,0
"Adam Benak",2007-04-10,"C","Brantford Bulldogs",15,0,0,0,0,0
"Adam Jiricek",2006-06-28,"D","Brantford Bulldogs",15,0,0,0,0,0
"Adam Kelly",2008-09-19,"RW","Kingston Frontenacs",1,0,0,0,0,0
"Adam Levac",2008-06-27,"C","Peterborough Petes",6,0,0,0,0,0
"Adam Nemec",2007-10-18,"LW","Sudbury Wolves",4,0,0,0,0,0
"Adam Novotný",2007-11-13,"LW","Peterborough Petes",6,0,0,0,0,0
"Aiden Young",2007-04-18,"C","Peterborough Petes",6,0,0,0,0,0
