"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Bjorn Bronas","6.01",188,"Sudbury Wolves",2007-02-25,1,34,36,0.944,36.61,2,2.03,0,0,1,0,1,0,0,0,0
"Easton Rye","6.00",196,"Peterborough Petes",2006-10-28,6,211,227,0.93,31.93,16,2.25,0,2,3,1,4,0,0,0,0
"Mason Vaccari","5.11",184,"Flint Firebirds",2005-04-29,8,211,229,0.921,28.85,18,2.27,1,4,4,0,4,0,0,0,0
"Christian Kirsch","6.04",193,"Kitchener Rangers",2006-06-18,18,403,448,0.9,23.12,45,2.32,1,16,2,0,2,0,0,0,0
"Carter George","6.02",195,"Soo Greyhounds",2006-05-20,10,252,277,0.91,26.19,25,2.36,1,5,5,0,5,0,0,0,0
"Ryerson Leenders","6.01",182,"Brantford Bulldogs",2006-06-01,14,346,382,0.906,25.6,36,2.41,1,10,2,2,4,0,0,0,2
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,4,149,160,0.931,35.73,11,2.46,0,0,1,1,2,0,0,0,5
"Aleksei Medvedev","6.03",195,"London Knights",2007-09-10,2,48,53,0.906,26.5,5,2.5,0,1,1,0,1,0,0,0,0
"Joey Costanzo","6.01",184,"Windsor Spitfires",2005-07-26,13,314,348,0.902,25.76,34,2.52,1,9,2,2,4,0,0,0,0
"Jack Lisson","6.02",190,"North Bay Battalion",2006-03-31,8,231,250,0.924,34.78,19,2.64,2,4,2,2,4,0,0,0,0
"Ben Hrebik","6.03",210,"Barrie Colts",2006-04-04,20,650,705,0.922,34.16,55,2.66,2,12,6,2,8,0,0,0,0
"Sebastian Gatto","6.04",185,"London Knights",2006-01-24,3,103,113,0.912,30.93,10,2.74,0,0,1,2,3,0,0,0,2
"David Egorov","6.02",195,"Brantford Bulldogs",2006-05-18,1,24,27,0.889,27,3,3,0,1,0,0,0,0,0,0,0
"Ryder Fetterolf","6.00",186,"Ottawa 67's",2008-01-05,9,243,270,0.9,30.37,27,3.04,0,5,4,0,4,0,0,0,0
"Matthew Minchak","6.05",200,"Kingston Frontenacs",2007-05-23,3,51,56,0.911,35.88,5,3.2,0,0,1,0,1,0,0,0,0
"Arvin Jaswal","6.02",178,"Barrie Colts",2008-03-29,2,45,50,0.9,32.15,5,3.21,0,0,0,1,1,0,0,0,0
"Stepan Shurygin","6.05",215,"Saginaw Spirit",2007-08-26,4,144,161,0.894,39.44,17,4.16,0,0,3,1,4,0,0,0,0
"Zach Jovanovski","6.02",194,"Guelph Storm",2007-10-07,4,108,122,0.885,36.61,14,4.2,0,0,4,0,4,0,0,0,0
"Vladislav Yermolenko","6.01",176,"Niagara IceDogs",2007-12-16,5,149,167,0.892,39.66,18,4.27,0,1,3,0,3,0,0,0,4
"Gavin Betts","6.00",186,"Kingston Frontenacs",2008-04-03,3,65,76,0.855,31.78,11,4.6,0,0,3,0,3,0,0,0,0
"Paolo Frasca","5.10",218,"Sudbury Wolves",2006-09-03,3,88,103,0.854,33.69,15,4.91,0,0,2,1,3,0,0,0,0
"Dylan Durno","5.11",173,"Owen Sound Attack",2008-04-17,1,10,13,0.769,24.09,3,5.56,0,0,0,0,0,0,0,0,0
"Charlie Robertson","6.04",182,"Niagara IceDogs",2005-04-02,1,21,27,0.778,28.29,6,6.29,0,0,1,0,1,0,0,0,0
"Matthew Koprowski","6.03",212,"Owen Sound Attack",2007-02-05,3,77,96,0.802,38.46,19,7.61,0,0,2,0,2,0,0,0,0
"Colin Ellsworth","6.01",186,"Guelph Storm",2008-12-03,1,12,18,0.667,28.99,6,9.66,0,0,0,0,0,0,0,0,0
"Trenten Bennett","6.08",220,"Owen Sound Attack",2006-04-01,2,21,34,0.618,35.26,13,13.48,0,0,2,0,2,0,0,0,0
