"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Mark Packwood","5.10",188,"Oshawa Generals",1988-08-10,1,5,5,1,11.83,0,0,0,1,0,0,0,0,0,0,0
"Michael Hutchinson","6.03",185,"Barrie Colts",1990-03-02,1,15,16,0.938,21.11,1,1.32,0,1,0,0,0,0,0,0,0
"Stephane Cesar","6.03",175,"London Knights",1988-03-18,2,20,21,0.952,35.29,1,1.68,0,0,0,0,0,0,0,0,0
"Charles Lavigne","6.00",185,"Kitchener Rangers",1988-07-18,2,27,30,0.9,20.82,3,2.08,0,0,1,0,1,0,0,0,0
"Jason Guy","6.00",173,"Kingston Frontenacs",1988-07-19,3,75,80,0.938,38.44,5,2.4,0,1,1,0,1,0,0,0,0
"Michal Neuvirth","6.01",193,"Plymouth Whalers",1988-03-23,18,601,645,0.932,35.85,44,2.45,0,14,3,1,4,0,0,0,2
"Marc-Andre Perron","6.02",201,"Saginaw Spirit",1987-08-02,2,52,57,0.912,27.9,5,2.45,0,1,0,1,1,0,0,0,0
"Sebastian Dahm","5.10",180,"Sudbury Wolves",1987-02-28,21,830,889,0.934,38.08,59,2.53,0,14,4,3,7,0,0,0,2
"Kevin Lalande","6.00",185,"Belleville Bulls",1987-02-19,15,564,606,0.931,36.78,42,2.55,1,10,1,4,5,0,0,0,4
"Andrew Perugini","6.00",180,"Barrie Colts",1988-07-12,8,246,268,0.918,31.28,22,2.57,0,3,1,3,4,0,0,0,2
"Neil Conway","6.01",183,"Owen Sound Attack",1988-01-17,1,3,4,0.75,12.06,1,3.02,0,0,0,0,0,0,0,0,0
"Jeremy Smith","6.00",170,"Plymouth Whalers",1989-04-13,3,57,65,0.877,26.17,8,3.22,0,2,0,0,0,0,0,0,0
"Ryan Daniels","6.02",200,"Saginaw Spirit",1988-06-22,4,76,89,0.854,22.31,13,3.26,0,1,3,0,3,0,0,0,0
"Bryan Pitton","6.02",176,"Brampton Battalion",1988-01-26,4,139,154,0.903,34.22,15,3.33,0,0,2,2,4,0,0,0,4
"Kyle Gajewski","5.11",162,"Sault Ste. Marie Greyhounds",1987-03-29,13,403,447,0.902,33.97,44,3.34,1,7,5,1,6,0,0,0,2
"Steve Mason","6.03",190,"London Knights",1988-05-29,16,581,635,0.915,40.93,54,3.48,0,9,7,0,7,0,0,0,2
"Brady Morrison","6.00",175,"Ottawa 67's",1987-04-15,5,126,145,0.869,27.61,19,3.62,0,1,3,1,4,0,0,0,0
"John Murray","6.01",206,"Kitchener Rangers",1987-07-04,9,229,260,0.881,33.87,31,4.04,0,5,1,2,3,0,0,0,0
"Andrew Loverock","6.03",189,"Mississauga IceDogs",1989-07-29,5,150,171,0.877,34.37,21,4.22,0,1,4,0,4,0,0,0,0
"Thomas McCollum","6.02",208,"Guelph Storm",1989-12-07,4,138,155,0.89,39.87,17,4.37,0,0,3,1,4,0,0,0,4
"Parker Van Buskirk","6.00",190,"Sarnia Sting",1988-03-26,4,122,141,0.865,35.25,19,4.75,0,0,4,0,4,0,0,0,0
"Loic Lacasse","6.02",180,"Oshawa Generals",1986-04-23,9,268,311,0.862,35.66,43,4.93,0,3,5,0,5,0,0,0,0
"Anthony Guadagnolo","5.11",185,"Owen Sound Attack",1986-01-27,4,78,97,0.804,25.96,19,5.09,0,0,3,1,4,0,0,0,0
"Daryl Borden","6.03",200,"Kingston Frontenacs",1989-05-19,3,97,113,0.858,36.89,16,5.22,0,0,1,2,3,0,0,0,0
"Cody St. Jacques","5.11",180,"Guelph Storm",1990-05-14,1,7,8,0.875,54.55,1,6.82,0,0,0,0,0,0,0,0,0
