"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Mikkel Boedker",1989-12-16,"RW","Kitchener Rangers",20,9,26,35,1.75,11,3,11,1,0,2
"Stephen Johnston",1990-02-24,"C","Belleville Bulls",21,5,2,7,0.33,3,0,1,2,0,6
"Daniel Michalsky",1988-01-13,"LW","Barrie Colts",9,3,4,7,0.78,4,0,1,2,0,4
"Ryan Ellis",1991-01-03,"D","Windsor Spitfires",5,2,3,5,1,0,2,2,0,0,2
"Taylor Hall",1991-11-14,"LW","Windsor Spitfires",5,2,3,5,1,-6,1,2,0,0,2
"Chris DeSousa",1990-10-19,"C","Niagara IceDogs",10,3,1,4,0.4,1,1,0,1,0,15
"Mike Mascioli",1990-03-18,"RW","Kitchener Rangers",20,3,1,4,0.2,2,1,0,1,0,37
"Casey Cizikas",1991-02-27,"C","Mississauga St. Michael's Majors",4,1,2,3,0.75,-1,1,2,0,0,6
"Michal Jordan",1990-07-17,"D","Plymouth Whalers",4,0,3,3,0.75,-9,0,2,0,0,6
"Denis Hollenstein",1989-10-15,"LW","Guelph Storm",7,2,0,2,0.29,-3,0,0,0,0,4
"Daniel Erlich",1991-03-13,"RW","London Knights",3,1,1,2,0.67,0,0,1,0,0,6
"Dylan King",1990-07-05,"D","Sault Ste. Marie Greyhounds",14,1,1,2,0.14,4,0,0,0,0,12
"Matt Duchene",1991-01-16,"C","Brampton Battalion",5,1,1,2,0.4,-3,0,1,0,0,10
"Alex Friesen",1991-01-30,"C","Niagara IceDogs",10,0,2,2,0.2,-2,0,1,0,0,6
"Mitch Lebar",1991-01-29,"RW","Barrie Colts",9,0,2,2,0.22,3,0,0,0,0,0
"Alex Dzielski",1989-07-17,"D","Kitchener Rangers",20,1,0,1,0.05,-2,1,0,0,0,12
"Colt Kennedy",1991-01-28,"RW","Barrie Colts",6,1,0,1,0.17,1,0,0,0,0,2
"Jordon O'Neill",1990-01-11,"D","Plymouth Whalers",3,1,0,1,0.33,0,0,0,0,0,0
"Marcus Pepe",1990-06-14,"C","Barrie Colts",6,1,0,1,0.17,0,0,0,0,0,6
"Michael Fine",1991-05-10,"C","Sault Ste. Marie Greyhounds",14,1,0,1,0.07,1,0,0,0,0,0
"Tyler J. Brown",1991-04-04,"LW","Plymouth Whalers",3,1,0,1,0.33,1,0,0,0,0,5
"Zack Kassian",1991-01-24,"RW","Peterborough Petes",5,1,0,1,0.2,-5,1,0,0,0,2
"Cameron Gaunce",1990-03-19,"D","Mississauga St. Michael's Majors",4,0,1,1,0.25,-4,0,0,0,0,6
"Cameron Odam",1990-06-26,"D","Sault Ste. Marie Greyhounds",4,0,1,1,0.25,1,0,0,0,0,0
"Jake Carrick",1990-09-11,"RW","Sault Ste. Marie Greyhounds",14,0,1,1,0.07,1,0,0,0,0,17
"Jamie Doornbosch",1990-02-01,"D","Peterborough Petes",5,0,1,1,0.2,-5,0,0,0,0,2
"Jaroslav Hertl",1989-10-28,"D","Brampton Battalion",5,0,1,1,0.2,-1,0,0,0,0,0
"Jason Akeson",1990-06-03,"RW","Kitchener Rangers",16,0,1,1,0.06,1,0,0,0,0,0
"Jesse Blacker",1991-04-19,"D","Windsor Spitfires",5,0,1,1,0.2,1,0,0,0,0,2
"Kyle Clifford",1991-01-13,"LW","Barrie Colts",9,0,1,1,0.11,0,0,0,0,0,4
"Marc Cantin",1990-03-27,"D","Belleville Bulls",13,0,1,1,0.08,2,0,0,0,0,9
"Mathew Maione",1990-11-21,"D","Niagara IceDogs",9,0,1,1,0.11,0,0,0,0,0,2
"Matt Russo",1990-04-12,"D","Mississauga St. Michael's Majors",4,0,1,1,0.25,-1,0,1,0,0,6
"Michael Latta",1991-05-25,"C","Ottawa 67's",4,0,1,1,0.25,-5,0,1,0,0,2
"Patrick Maroon",1988-04-23,"LW","London Knights",5,0,1,1,0.2,-2,0,0,0,0,10
"Peter Holland",1991-01-14,"C","Guelph Storm",10,0,1,1,0.1,-2,0,0,0,0,4
"Reggie Traccitto",1989-07-05,"RW","Niagara IceDogs",10,0,1,1,0.1,4,0,1,0,0,14
"Ryan Hayes",1989-06-04,"RW","Plymouth Whalers",4,0,1,1,0.25,-2,0,0,0,0,0
"Tyler G. Brown",1990-02-07,"C","Plymouth Whalers",3,0,1,1,0.33,2,0,0,0,0,2
"Tyler Murovich",1989-12-04,"C","Saginaw Spirit",3,0,1,1,0.33,-3,0,1,0,0,7
"Adam Comrie",1990-07-31,"D","Saginaw Spirit",4,0,0,0,0,-7,0,0,0,0,4
"Adam Payerl",1991-03-04,"C","Barrie Colts",1,0,0,0,0,0,0,0,0,0,0
"Adam Wallace",1990-03-23,"D","Windsor Spitfires",2,0,0,0,0,0,0,0,0,0,0
"Andrew Yogan",1991-12-04,"C","Windsor Spitfires",5,0,0,0,0,0,0,0,0,0,6
"Andy Andreoff",1991-05-17,"C","Oshawa Generals",9,0,0,0,0,0,0,0,0,0,2
"Andy Bathgate",1991-02-26,"C","Belleville Bulls",5,0,0,0,0,0,0,0,0,0,0
"Anthony Iaquinto",1989-10-01,"RW","London Knights",1,0,0,0,0,0,0,0,0,0,0
"Ben O'Quinn",1991-05-07,"C","Sarnia Sting",9,0,0,0,0,0,0,0,0,0,0
"Brett Flemming",1991-02-26,"D","Mississauga St. Michael's Majors",4,0,0,0,0,0,0,0,0,0,6
"Chad Lowry",1991-01-24,"D","Peterborough Petes",5,0,0,0,0,2,0,0,0,0,0
"Chris Beauchamp",1991-01-02,"RW","Brampton Battalion",1,0,0,0,0,0,0,0,0,0,0
"Cody Sol",1991-02-11,"D","Saginaw Spirit",1,0,0,0,0,0,0,0,0,0,0
"Daniel Pachis",1991-06-05,"C","Saginaw Spirit",4,0,0,0,0,0,0,0,0,0,2
"David Corrente",1991-05-03,"D","Oshawa Generals",7,0,0,0,0,-2,0,0,0,0,0
"Derek Holden",1991-01-21,"D","Peterborough Petes",5,0,0,0,0,-3,0,0,0,0,0
"Garett Hunter",1990-01-18,"LW","London Knights",4,0,0,0,0,-1,0,0,0,0,2
"Garrett Wilson",1991-03-16,"LW","Windsor Spitfires",3,0,0,0,0,-3,0,0,0,0,0
"Jake Guindon",1990-06-19,"RW","Sarnia Sting",5,0,0,0,0,0,0,0,0,0,0
"Jaroslav Kruzik",1990-03-26,"D","Barrie Colts",6,0,0,0,0,0,0,0,0,0,0
"Jason Bergeron",1988-02-20,"RW","Niagara IceDogs",10,0,0,0,0,-1,0,0,0,0,0
"Joe Rogalski",1991-11-29,"D","Sarnia Sting",9,0,0,0,0,-1,0,0,0,0,2
"Joey West",1991-02-16,"C","Peterborough Petes",3,0,0,0,0,-1,0,0,0,0,0
"John Quarrie",1988-07-10,"D","Oshawa Generals",12,0,0,0,0,0,0,0,0,0,0
"Jon Carnevale",1991-06-21,"RW","Ottawa 67's",4,0,0,0,0,-2,0,0,0,0,2
"Jordan Hill",1989-03-08,"D","Sarnia Sting",7,0,0,0,0,2,0,0,0,0,4
"Jordan Mayer",1991-08-24,"C","Mississauga St. Michael's Majors",4,0,0,0,0,-3,0,0,0,0,0
"Jordan Ogilvie",1989-03-03,"D","Saginaw Spirit",1,0,0,0,0,0,0,0,0,0,0
"Jordan Szwarz",1991-05-14,"RW","Saginaw Spirit",4,0,0,0,0,-4,0,0,0,0,2
"Josh Bemis",1990-11-03,"D","Plymouth Whalers",4,0,0,0,0,-5,0,0,0,0,4
"Justin Shugg",1991-12-24,"LW","Windsor Spitfires",3,0,0,0,0,0,0,0,0,0,0
"Kain Allicock",1990-03-02,"LW","Saginaw Spirit",1,0,0,0,0,1,0,0,0,0,2
"Liam Heelis",1990-09-28,"C","Peterborough Petes",3,0,0,0,0,-1,0,0,0,0,2
"Martin Paryzek",1989-03-23,"D","Ottawa 67's",4,0,0,0,0,-5,0,0,0,0,0
"Mathew Sisca",1990-10-30,"C","Niagara IceDogs",5,0,0,0,0,-1,0,0,0,0,0
"Matt Ashman",1990-05-09,"D","London Knights",2,0,0,0,0,0,0,0,0,0,0
"Matt Stanisz",1990-05-19,"D","Barrie Colts",6,0,0,0,0,0,0,0,0,0,4
"Michael Santini",1991-02-22,"RW","Sarnia Sting",4,0,0,0,0,0,0,0,0,0,0
"Mike Ryan",1990-04-01,"LW","Peterborough Petes",5,0,0,0,0,-1,0,0,0,0,2
"Radim Ostrcil",1989-01-15,"D","Ottawa 67's",4,0,0,0,0,-3,0,0,0,0,2
"RJ Mahalak",1991-12-23,"LW","Plymouth Whalers",4,0,0,0,0,0,0,0,0,0,0
"Robert Stellick",1991-05-22,"D","Belleville Bulls",2,0,0,0,0,0,0,0,0,0,0
"Ryan Martindale",1991-10-27,"C","Ottawa 67's",4,0,0,0,0,-2,0,0,0,0,2
"Ryan Moore",1990-02-24,"D","Sarnia Sting",5,0,0,0,0,0,0,0,0,0,0
"Scott Tanski",1990-04-19,"C","Brampton Battalion",5,0,0,0,0,-2,0,0,0,0,2
"Spencer Anderson",1988-04-09,"LW","Kitchener Rangers",6,0,0,0,0,1,0,0,0,0,5
"Taylor Beck",1991-05-13,"LW","Guelph Storm",7,0,0,0,0,-1,0,0,0,0,4
"Travis Gibbons",1990-02-28,"D","Guelph Storm",5,0,0,0,0,0,0,0,0,0,0
"Tye McGinn",1990-07-29,"LW","Ottawa 67's",4,0,0,0,0,-1,0,0,0,0,2
"Tyler Randell",1991-06-15,"RW","Belleville Bulls",19,0,0,0,0,0,0,0,0,0,0
"Vladimir Roth",1990-06-25,"D","London Knights",4,0,0,0,0,1,0,0,0,0,2
"Zac Rinaldo",1990-06-15,"LW","Mississauga St. Michael's Majors",4,0,0,0,0,-3,0,0,0,0,9
"Zane Neily",1989-03-22,"LW","Saginaw Spirit",1,0,0,0,0,0,0,0,0,0,0
