"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Mikkel Boedker","YES",1989-12-16,"5.11",201,"RW","Kitchener Rangers",20,9,26,35,1.75,11,3,11,14,1,0,2
"Steven Stamkos","NO",1990-02-07,"6.01",180,"C","Sarnia Sting",9,11,0,11,1.22,0,5,0,5,2,0,20
"Kory Nagy","NO",1989-10-12,"5.11",197,"LW","Oshawa Generals",15,6,3,9,0.6,4,0,0,0,1,0,4
"Alex Pietrangelo","NO",1990-01-18,"6.04",210,"D","Niagara IceDogs",6,5,4,9,1.5,1,2,3,5,1,0,4
"Drew Doughty","NO",1989-12-08,"6.00",213,"D","Guelph Storm",10,3,6,9,0.9,5,1,3,4,1,0,14
"Shawn Lalonde","NO",1990-03-10,"6.01",195,"D","Belleville Bulls",21,2,7,9,0.43,7,0,3,3,0,0,25
"Michael Del Zotto","NO",1990-06-24,"6.00",188,"D","Oshawa Generals",15,2,6,8,0.53,1,0,4,4,1,0,38
"Stephen Johnston","YES",1990-02-24,"6.01",190,"C","Belleville Bulls",21,5,2,7,0.33,3,0,1,1,2,0,6
"Joshua Bailey","NO",1989-10-02,"6.01",195,"C","Windsor Spitfires",5,1,5,6,1.2,-5,1,4,5,0,0,2
"Cody Hodgson","NO",1990-02-18,"6.00",188,"C","Brampton Battalion",5,5,0,5,1,2,1,0,1,0,1,2
"Adam Henrique","NO",1990-02-06,"6.00",196,"C","Windsor Spitfires",5,2,3,5,1,-4,1,3,4,0,0,4
"Brett Theberge","NO",1989-11-03,"6.00",200,"C","Peterborough Petes",5,2,3,5,1,-4,1,1,2,1,0,4
"James Livingston","NO",1990-03-08,"6.01",210,"RW","Sault Ste. Marie Greyhounds",14,2,3,5,0.36,-1,0,1,1,0,0,14
"Mike Mascioli","YES",1990-03-18,"5.10",195,"RW","Kitchener Rangers",20,3,1,4,0.2,2,1,0,1,1,0,37
"Jamie Arniel","NO",1989-11-16,"6.00",190,"C","Sarnia Sting",9,2,2,4,0.44,0,1,2,3,0,0,6
"T.J. Battani","NO",1989-10-25,"6.01",202,"RW","Kitchener Rangers",20,1,3,4,0.2,1,0,2,2,0,0,8
"Greg Nemisz","NO",1990-06-05,"6.04",200,"RW","Windsor Spitfires",5,2,1,3,0.6,-4,1,0,1,1,0,8
"Ryan Gottschalk","NO",1989-12-16,"5.11",199,"D","Barrie Colts",9,2,1,3,0.33,1,0,0,0,0,0,6
"Stefan Della Rovere","NO",1990-02-25,"5.11",200,"LW","Barrie Colts",9,1,2,3,0.33,-4,1,0,1,0,0,16
"Steven Tarasuk","NO",1989-11-01,"5.10",175,"D","London Knights",5,1,2,3,0.6,0,0,0,0,0,0,4
"Michal Jordan","YES",1990-07-17,"6.02",190,"D","Plymouth Whalers",4,0,3,3,0.75,-9,0,2,2,0,0,6
"T.J. Brodie","NO",1990-06-07,"6.01",173,"D","Saginaw Spirit",4,0,3,3,0.75,-4,0,2,2,0,0,2
"Zach Bogosian","NO",1990-07-15,"6.02",200,"D","Peterborough Petes",5,0,3,3,0.6,-4,0,1,1,0,0,8
"Denis Hollenstein","YES",1989-10-15,"6.00",167,"LW","Guelph Storm",7,2,0,2,0.29,-3,0,0,0,0,0,4
"Dylan King","YES",1990-07-05,"6.00",203,"D","Sault Ste. Marie Greyhounds",14,1,1,2,0.14,4,0,0,0,0,0,12
"Michael Pelech","NO",1989-10-06,"6.02",212,"C","Mississauga St. Michael's Majors",4,1,1,2,0.5,-6,1,1,2,0,0,6
"Nick Crawford","NO",1990-02-23,"6.01",183,"D","Saginaw Spirit",4,1,1,2,0.5,-1,0,0,0,0,0,2
"Tyler Cuma","NO",1990-01-19,"6.02",192,"D","Ottawa 67's",4,1,1,2,0.5,-4,1,1,2,0,0,2
"Dalton Prout","NO",1990-03-13,"6.03",223,"D","Barrie Colts",8,0,2,2,0.25,0,0,0,0,0,0,16
"Julien Demers","NO",1989-09-25,"6.01",215,"D","Ottawa 67's",4,0,2,2,0.5,-3,0,1,1,0,0,0
