"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Daniel Altshuller","6.03",200,"Oshawa Generals",1994-07-24,11,299,321,0.931,27.53,22,1.89,3,8,3,0,3,0,0,0,2
"Anthony Stolarz","6.06",220,"London Knights",1994-01-20,3,83,89,0.933,29.67,6,2,0,3,0,0,0,0,0,0,2
"Daniel Gibl","6.02",186,"Barrie Colts",1995-08-28,3,44,48,0.917,26.97,4,2.25,0,1,1,0,1,0,0,0,0
"Jake Smith","5.11",187,"North Bay Battalion",1995-05-01,22,524,579,0.905,26.75,55,2.54,3,13,8,1,9,0,0,0,0
"Mackenzie Blackwood","6.04",224,"Barrie Colts",1996-12-09,10,226,250,0.904,27.18,24,2.61,1,5,4,0,4,0,0,0,0
"Devin Williams","6.00",174,"Erie Otters",1995-10-30,13,332,364,0.912,29.89,32,2.63,2,9,3,1,4,0,0,0,0
"Justin Nichols","5.09",163,"Guelph Storm",1995-06-25,20,559,608,0.919,32.61,49,2.63,2,16,3,1,4,0,0,0,0
"Matt Murray","6.05",171,"Sault Ste. Marie Greyhounds",1994-05-25,9,257,281,0.915,30.83,24,2.63,1,4,3,2,5,0,0,0,0
"Matt Mahalak","6.02",186,"Kingston Frontenacs",1993-01-22,7,202,221,0.914,32.42,19,2.79,0,3,1,2,3,0,0,0,0
"Andrew D'Agostini","5.11",180,"Peterborough Petes",1993-03-26,11,415,448,0.926,38.57,33,2.84,0,4,6,1,7,0,0,0,2
"Brent Moran","6.04",195,"Niagara IceDogs",1996-07-05,7,233,253,0.921,36.23,20,2.86,1,3,4,0,4,0,0,0,0
"Matthew Mancina","6.02",191,"Guelph Storm",1996-04-29,2,43,47,0.915,35.02,4,2.98,0,0,0,0,0,0,0,0,0
"Ken Appleby","6.04",205,"Oshawa Generals",1995-04-10,1,25,28,0.893,28.6,3,3.06,0,0,1,0,1,0,0,0,0
"Lucas Peressini","6.3",195,"Kingston Frontenacs",1995-03-09,1,34,37,0.919,46.49,3,3.77,0,0,1,0,1,0,0,0,0
"Jake Patterson","6.01",191,"London Knights",1994-06-18,6,200,223,0.897,38.69,23,3.99,0,2,4,0,4,0,0,0,0
"Spencer Martin","6.03",204,"Mississauga Steelheads",1995-06-08,4,164,182,0.901,40.39,18,3.99,0,0,1,3,4,0,0,0,0
"Franky Palazzese","6.01",160,"Sudbury Wolves",1993-05-28,5,151,171,0.883,34.3,20,4.01,0,1,3,1,4,0,0,0,0
"Jack Flinn","6.08",233,"Owen Sound Attack",1995-12-20,3,71,82,0.866,32.3,11,4.33,0,0,2,0,2,0,0,0,0
"Zack Bowman","6.02",179,"Plymouth Whalers",1997-07-31,2,11,13,0.846,28.66,2,4.41,0,0,0,0,0,0,0,0,0
"Alex Nedeljkovic","6.00",190,"Plymouth Whalers",1996-01-07,5,190,210,0.905,46.34,20,4.41,0,1,4,0,4,0,0,0,0
"Jake Paterson","6.01",183,"Saginaw Spirit",1994-05-03,5,193,217,0.889,42.25,24,4.67,0,1,2,2,4,0,0,0,0
"Alex Fotinos","6.00",181,"Windsor Spitfires",1995-01-02,4,120,138,0.87,40.5,18,5.28,0,0,3,0,3,0,0,0,0
"Brandon Hope","6.01",196,"Owen Sound Attack",1994-03-18,3,73,86,0.849,35.48,13,5.36,0,1,2,0,2,0,0,0,0
"Justin Tugwell","5.10",167,"London Knights",1994-05-19,1,5,6,0.833,33.59,1,5.6,0,0,0,0,0,0,0,0,0
"Chase Marchand","6.00",168,"Mississauga Steelheads",1995-12-17,1,5,6,0.833,38.85,1,6.47,0,0,0,0,0,0,0,0,0
"Oscar Dansk","6.03",201,"Erie Otters",1994-02-28,3,55,69,0.797,33.49,14,6.79,0,0,1,0,1,0,0,0,0
"Brendan O'Neill","6.04",190,"North Bay Battalion",1994-04-24,1,14,17,0.824,46.75,3,8.25,0,0,0,0,0,0,0,0,2
"Dalen Kuchmey","5.10",185,"Windsor Spitfires",1994-09-05,1,18,26,0.692,45.3,8,13.94,0,0,1,0,1,0,0,0,0
