"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Nikolay Goldobin",1995-10-07,"RW","Sarnia Sting",68,30,38,68,1,-7,13,10,3,1,12
"Connor McDavid",1997-01-13,"C","Erie Otters",63,25,41,66,1.05,-24,2,19,2,1,36
"Sergey Tolchinsky",1995-02-03,"LW","Sault Ste. Marie Greyhounds",62,26,25,51,0.82,8,8,7,2,0,12
"Blake Clarke",1996-01-24,"LW","Brampton Battalion",68,19,32,51,0.75,-2,7,14,6,0,42
"Jared McCann",1996-05-31,"C","Sault Ste. Marie Greyhounds",64,21,23,44,0.69,-6,4,10,4,0,35
"Josh Ho-Sang",1996-01-22,"RW","Windsor Spitfires",63,14,30,44,0.7,-23,2,11,0,0,22
"Spencer Watson",1996-04-25,"RW","Kingston Frontenacs",63,23,20,43,0.68,0,4,4,1,0,18
"Dante Salituro",1996-11-15,"C","Ottawa 67's",64,14,26,40,0.63,-44,4,11,0,0,56
"Dominik Kahun",1995-07-02,"LW","Sudbury Wolves",58,13,27,40,0.69,0,2,9,1,0,8
"Justin Bailey",1995-07-01,"C","Kitchener Rangers",57,17,19,36,0.63,22,1,5,2,0,34
"Dominik Kubalik",1995-08-21,"LW","Sudbury Wolves",67,17,17,34,0.51,-3,1,3,4,0,25
"Jonatan Tanus",1995-06-04,"C","Peterborough Petes",67,15,18,33,0.49,5,3,3,3,1,34
"Robby Fabbri",1996-01-22,"C","Guelph Storm",59,10,23,33,0.56,13,0,10,1,0,38
"Greg  Betzold",1995-03-11,"LW","Peterborough Petes",67,9,23,32,0.48,-11,1,3,1,0,32
"Anthony DiFruscia",1995-04-20,"LW","Niagara IceDogs",68,14,16,30,0.44,-6,2,5,4,0,58
"Josh Burnside",1995-02-11,"LW","Mississauga Steelheads",68,12,16,28,0.41,-13,5,6,1,0,22
"Daniel Nikandrov",1995-02-03,"C","Sarnia Sting",61,7,19,26,0.43,-5,2,2,2,0,10
"Bradley  Latour",1995-09-13,"RW","Oshawa Generals",66,11,13,24,0.36,7,0,1,1,0,18
"Andrey Alexeev",1995-03-01,"RW","Saginaw Spirit",62,8,14,22,0.35,-5,1,1,1,0,45
"Kyle Platzer",1995-03-04,"RW","London Knights",65,5,17,22,0.34,7,1,0,0,0,15
"Mike Amadio",1996-05-13,"RW","Brampton Battalion",63,6,13,19,0.3,-3,2,4,2,0,8
"Aaron Berisha",1995-03-05,"RW","Belleville Bulls",59,10,8,18,0.31,4,0,1,2,0,16
"Remi Elie",1995-04-16,"LW","London Knights",65,7,10,17,0.26,7,0,0,1,0,34
"Tyler  Ganly",1995-03-22,"D","Sault Ste. Marie Greyhounds",62,0,17,17,0.27,2,0,0,0,0,64
"Jeremiah Addison",1996-10-21,"RW","Saginaw Spirit",68,6,10,16,0.24,-18,0,2,0,0,42
"Eric  Cornel",1996-04-11,"C","Peterborough Petes",63,4,12,16,0.25,-2,0,2,0,0,13
"Mathew Santos",1995-03-16,"RW","Brampton Battalion",57,7,8,15,0.26,-3,1,0,0,1,24
"Brandon Lindberg",1996-09-24,"C","Saginaw Spirit",61,8,6,14,0.23,-10,0,0,0,0,8
"Brendan Lemieux",1996-03-15,"LW","Barrie Colts",42,6,8,14,0.33,2,0,2,3,0,52
"Marc Beckstead",1995-04-18,"LW","Kingston Frontenacs",53,6,8,14,0.26,-10,2,2,0,1,33
