"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Charles Sarault",1992-02-20,"C","Sarnia Sting",68,5,2,7,0.1,6
"Vincent Trocheck",1993-07-11,"C","Plymouth Whalers",63,5,2,7,0.11,6
"Nick Cousins",1993-07-20,"C","Sault Ste. Marie Greyhounds",64,3,4,7,0.11,7
"Cameron Brace",1993-04-08,"RW","Owen Sound Attack",66,5,1,6,0.09,8
"Daniel Catenacci",1993-03-09,"C","Owen Sound Attack",67,4,2,6,0.09,8
"Garret Ross",1992-05-26,"LW","Saginaw Spirit",61,4,2,6,0.1,7
"Tanner Richard",1993-04-06,"C","Guelph Storm",52,3,3,6,0.12,10
"Ryan Strome",1993-07-11,"C","Niagara IceDogs",53,2,4,6,0.11,6
"Brett Ritchie",1993-07-01,"RW","Niagara IceDogs",53,3,2,5,0.09,7
"Eric Locke",1993-11-21,"C","Saginaw Spirit",68,3,2,5,0.07,5
"Zack Mitchell",1993-01-07,"RW","Guelph Storm",68,3,2,5,0.07,9
"Reid Boucher",1993-09-08,"LW","Sarnia Sting",68,1,4,5,0.07,5
"Barclay Goodrow",1993-02-26,"RW","Brampton Battalion",62,4,0,4,0.06,8
"Justin Kea",1994-02-07,"C","Saginaw Spirit",68,3,1,4,0.06,8
"Rickard Rakell",1993-05-05,"C","Plymouth Whalers",40,3,1,4,0.1,9
"Seth Griffith",1993-01-04,"RW","London Knights",54,3,1,4,0.07,5
"Andrew Fritsch",1993-03-24,"RW","Sault Ste. Marie Greyhounds",55,2,2,4,0.07,8
"J.P. Labardo",1992-02-24,"C","Erie Otters",67,2,2,4,0.06,6
"Joseph Cramarossa",1992-10-26,"C","Belleville Bulls",68,2,2,4,0.06,6
"Luke Cairns",1994-05-29,"C","Erie Otters",68,2,2,4,0.06,10
"Mark Scheifele",1993-03-15,"C","Barrie Colts",45,2,2,4,0.09,5
"Zach Nastasiuk",1995-03-30,"RW","Owen Sound Attack",62,2,2,4,0.06,10
"Andrey Pedan",1993-07-03,"D","Guelph Storm",60,1,3,4,0.07,9
"Brandon Alderson",1992-01-22,"RW","Sault Ste. Marie Greyhounds",67,3,0,3,0.04,5
"Brock McGinn",1994-02-02,"LW","Guelph Storm",68,3,0,3,0.04,6
"Ryan Hartman",1994-09-20,"LW","Plymouth Whalers",56,2,1,3,0.05,5
"Shayne Rover",1992-01-13,"D","Niagara IceDogs",67,2,1,3,0.04,11
"Stephen Pierog",1994-06-07,"C","Peterborough Petes",67,2,1,3,0.04,9
"Tyler Graovac",1993-04-27,"C","Belleville Bulls",60,2,1,3,0.05,4
"Aaron Ekblad",1996-02-07,"D","Barrie Colts",54,1,2,3,0.06,9
"Ben Thomson",1993-01-16,"LW","Kitchener Rangers",67,1,2,3,0.04,9
"Bo Horvat",1995-04-05,"LW","London Knights",67,1,2,3,0.04,5
"Cody McNaughton",1992-10-16,"RW","Guelph Storm",62,1,2,3,0.05,9
"Henri Ikonen",1994-04-17,"LW","Kingston Frontenacs",61,1,2,3,0.05,6
"Scott Kosmachuk",1994-01-24,"RW","Guelph Storm",68,1,2,3,0.04,5
"Steven Beyers",1992-06-12,"RW","Barrie Colts",66,1,2,3,0.05,4
"Jason Dickinson",1995-07-04,"LW","Guelph Storm",66,0,3,3,0.05,6
"Brady Vail",1994-03-11,"C","Windsor Spitfires",68,2,0,2,0.03,4
"Cody Alcock",1992-04-23,"LW","Kingston Frontenacs",67,2,0,2,0.03,5
"Geoffrey Schemitsch",1992-04-01,"D","Oshawa Generals",66,2,0,2,0.03,5
"Jared McCann",1996-05-31,"C","Sault Ste. Marie Greyhounds",64,2,0,2,0.03,5
"Josh Anderson",1994-05-07,"RW","London Knights",68,2,0,2,0.03,4
"Josh MacDonald",1994-03-26,"LW","Barrie Colts",66,2,0,2,0.03,7
"Matia Marcantuoni",1994-02-22,"C","Kitchener Rangers",64,2,0,2,0.03,8
"Tobias Rieder",1993-01-10,"RW","Kitchener Rangers",52,2,0,2,0.04,4
"Adam Pelech",1994-08-16,"D","Erie Otters",59,1,1,2,0.03,5
"Alex Aleardi",1992-07-30,"RW","Windsor Spitfires",67,1,1,2,0.03,3
"Ben Fanelli",1993-03-09,"D","Kitchener Rangers",64,1,1,2,0.03,10
"Brendan Gaunce",1994-03-25,"C","Belleville Bulls",60,1,1,2,0.03,3
"Colin Miller",1992-10-29,"D","Sault Ste. Marie Greyhounds",54,1,1,2,0.04,4
"Connor Brown",1994-01-14,"RW","Erie Otters",63,1,1,2,0.03,3
"Connor McDavid",1997-01-13,"C","Erie Otters",63,1,1,2,0.03,3
"Danny Vanderwiel",1995-02-17,"LW","Plymouth Whalers",57,1,1,2,0.04,14
"Eric Ming",1993-03-31,"RW","Kitchener Rangers",61,1,1,2,0.03,7
"Jake Cardwell",1992-05-24,"D","Belleville Bulls",54,1,1,2,0.04,6
"Jake Evans",1995-02-18,"C","Erie Otters",56,1,1,2,0.04,12
"Jake Worrad",1993-01-10,"D","Belleville Bulls",57,1,1,2,0.04,7
"Joseph Blandisi",1994-07-18,"RW","Ottawa 67's",63,1,1,2,0.03,4
"Lucas Lessio",1993-01-23,"LW","Oshawa Generals",35,1,1,2,0.06,6
"Michael Schumacher",1993-08-25,"LW","Sault Ste. Marie Greyhounds",65,1,1,2,0.03,4
"Mitchell Theoret",1993-06-08,"C","Barrie Colts",60,1,1,2,0.03,3
"Nick Moutrey",1995-06-24,"RW","Saginaw Spirit",65,1,1,2,0.03,5
"Robby Fabbri",1996-01-22,"C","Guelph Storm",59,1,1,2,0.03,6
"Ryan Kujawinski",1995-03-30,"C","Kingston Frontenacs",66,1,1,2,0.03,4
"Ryan O'Connor",1992-01-12,"D","Barrie Colts",64,1,1,2,0.03,4
"Stephen Nosad",1995-01-25,"RW","Peterborough Petes",62,1,1,2,0.03,11
"Trevor Carrick",1994-07-04,"D","Mississauga Steelheads",56,1,1,2,0.04,6
"Ben Harpur",1995-01-12,"D","Guelph Storm",67,0,2,2,0.03,13
"Boone Jenner",1993-06-15,"C","Oshawa Generals",56,0,2,2,0.04,2
"Curtis Meighan",1994-03-27,"C","Kitchener Rangers",66,0,2,2,0.03,10
"Darnell Nurse",1995-02-04,"D","Sault Ste. Marie Greyhounds",68,0,2,2,0.03,5
"Ryan Shipley",1994-03-03,"D","Niagara IceDogs",38,0,2,2,0.05,67
"Ryan Sproul",1993-01-13,"D","Sault Ste. Marie Greyhounds",50,0,2,2,0.04,3
"Steven Shipley",1992-04-22,"LW","Niagara IceDogs",66,0,2,2,0.03,3
"Terry Trafford",1994-02-14,"C","Saginaw Spirit",63,0,2,2,0.03,8
"Tyson Fawcett",1993-06-08,"C","Barrie Colts",62,0,2,2,0.03,8
"Warren Steele",1994-05-16,"D","Kingston Frontenacs",67,0,2,2,0.03,7
"Alex Basso",1993-06-15,"D","Sarnia Sting",57,1,0,1,0.02,2
"Alex Galchenyuk",1994-02-12,"C","Sarnia Sting",33,1,0,1,0.03,2
"Alex Gudbranson",1994-09-03,"D","Sault Ste. Marie Greyhounds",65,1,0,1,0.02,7
"Austin Levi",1992-02-16,"D","Plymouth Whalers",58,1,0,1,0.02,6
"Billy Jenkins",1994-09-08,"LW","Kingston Frontenacs",53,1,0,1,0.02,3
"Brady Austin",1993-06-16,"D","Belleville Bulls",64,1,0,1,0.02,4
"Brendan Childerley",1992-06-22,"RW","Brampton Battalion",56,1,0,1,0.02,5
"Bryan Moore",1994-05-25,"RW","Sarnia Sting",64,1,0,1,0.02,3
"Charlie Dodero",1992-10-01,"D","Sudbury Wolves",67,1,0,1,0.01,4
"Chris Tierney",1994-07-01,"C","London Knights",68,1,0,1,0.01,2
"Connor Crisp",1994-04-08,"C","Erie Otters",63,1,0,1,0.02,3
"Connor Sills",1995-05-21,"RW","Plymouth Whalers",42,1,0,1,0.02,33
"Dylan Corson",1994-03-01,"C","Barrie Colts",66,1,0,1,0.02,11
"Hunter Garlent",1995-02-04,"C","Guelph Storm",50,1,0,1,0.02,3
"Jake Dotchin",1994-03-24,"D","Barrie Colts",66,1,0,1,0.02,5
"Jason Shaw",1992-09-09,"D","Saginaw Spirit",61,1,0,1,0.02,3
"Jesse Graham",1994-05-13,"D","Niagara IceDogs",68,1,0,1,0.01,3
"Jonatan Tanus",1995-06-04,"C","Peterborough Petes",67,1,0,1,0.01,3
"Joshua Leivo",1993-05-26,"LW","Kitchener Rangers",63,1,0,1,0.02,1
"Kristoff Kontos",1993-12-06,"C","Mississauga Steelheads",68,1,0,1,0.01,3
"Matt Fuller",1993-01-31,"D","London Knights",18,1,0,1,0.06,50
"Max Domi",1995-03-02,"C","London Knights",64,1,0,1,0.02,1
"Michael Kantor",1992-02-02,"RW","Sudbury Wolves",56,1,0,1,0.02,3
"Mikko Vainonen",1994-04-11,"D","Kingston Frontenacs",55,1,0,1,0.02,5
"Nathan Pancel",1994-01-05,"LW","Sudbury Wolves",68,1,0,1,0.01,2
"Nick Halagian",1995-02-03,"LW","Sault Ste. Marie Greyhounds",61,1,0,1,0.02,7
"Nick Ritchie",1995-12-05,"LW","Peterborough Petes",41,1,0,1,0.02,3
"Olli Maatta",1994-08-22,"D","London Knights",57,1,0,1,0.02,3
"Riley Brace",1992-03-07,"LW","Mississauga Steelheads",66,1,0,1,0.02,1
"Ryan Horvat",1993-02-09,"C","Guelph Storm",58,1,0,1,0.02,3
"Scott Laughton",1994-05-30,"C","Oshawa Generals",49,1,0,1,0.02,2
"Scott Sabourin",1992-07-30,"RW","Oshawa Generals",65,1,0,1,0.02,2
"Sean Monahan",1994-10-12,"C","Ottawa 67's",58,1,0,1,0.02,1
"Spenser Cobbold",1994-08-13,"LW","Mississauga Steelheads",64,1,0,1,0.02,4
"Steven Strong",1993-02-16,"D","Saginaw Spirit",36,1,0,1,0.03,8
"Stuart Percy",1993-05-18,"D","Mississauga Steelheads",68,1,0,1,0.01,2
"Taylor Fielding",1994-01-01,"RW","Ottawa 67's",51,1,0,1,0.02,4
"Tyler Biggs",1993-04-30,"RW","Oshawa Generals",60,1,0,1,0.02,2
"Tyler Ferry",1992-12-09,"D","London Knights",68,1,0,1,0.01,5
"Zach Hall",1993-04-29,"C","Barrie Colts",63,1,0,1,0.02,1
"Zach Lorentz",1993-01-19,"LW","Plymouth Whalers",66,1,0,1,0.02,3
"Alex Broadhurst",1993-03-07,"C","London Knights",65,0,1,1,0.02,2
"Alex Peters",1996-07-02,"D","Plymouth Whalers",58,0,1,1,0.02,8
"Anthony Camara",1993-09-04,"LW","Barrie Colts",50,0,1,1,0.02,2
"Anthony DeAngelo",1995-10-24,"D","Sarnia Sting",62,0,1,1,0.02,2
"Brandon Lindberg",1996-09-24,"C","Saginaw Spirit",61,0,1,1,0.02,7
"Brandon Prophet",1996-06-03,"D","Saginaw Spirit",54,0,1,1,0.02,9
"Brock Beukeboom",1992-04-01,"D","Guelph Storm",67,0,1,1,0.01,5
"Carter Verhaeghe",1995-08-14,"C","Niagara IceDogs",67,0,1,1,0.01,2
"Chris Bigras",1995-02-22,"D","Owen Sound Attack",68,0,1,1,0.01,3
"Chris Buonomo",1992-04-23,"D","Sault Ste. Marie Greyhounds",47,0,1,1,0.02,8
"Chris Carlisle",1994-12-16,"D","Oshawa Generals",56,0,1,1,0.02,7
"Cole Cassels",1995-05-04,"C","Oshawa Generals",64,0,1,1,0.02,2
"Connor Murphy",1993-03-26,"D","Sarnia Sting",33,0,1,1,0.03,6
"Craig Hottot",1992-02-15,"RW","Mississauga Steelheads",29,0,1,1,0.03,8
"Curtis Crombeen",1993-02-12,"D","Plymouth Whalers",14,0,1,1,0.07,25
"Dakota Mermis",1994-01-05,"D","London Knights",27,0,1,1,0.04,9
"Dalton Young",1993-07-14,"D","Saginaw Spirit",68,0,1,1,0.01,2
"Daniel Nikandrov",1995-02-03,"C","Sarnia Sting",61,0,1,1,0.02,4
"Daniil Zharkov",1994-02-06,"LW","Belleville Bulls",59,0,1,1,0.02,2
"Dylan Smoskowitz",1993-02-11,"C","Mississauga Steelheads",62,0,1,1,0.02,2
"Frank Corrado",1993-03-26,"D","Kitchener Rangers",69,0,1,1,0.01,2
"Gianluca Curcuruto",1994-02-25,"D","Plymouth Whalers",67,0,1,1,0.01,2
"Jacob Harris",1995-02-02,"C","Sudbury Wolves",54,0,1,1,0.02,3
"Jimmy McDowell",1993-04-23,"D","Erie Otters",67,0,1,1,0.01,3
"John Urbanic",1995-04-24,"RW","Ottawa 67's",57,0,1,1,0.02,12
"Jonathan Laser",1994-08-17,"D","Barrie Colts",62,0,1,1,0.02,8
"Kerby Rychel",1994-10-07,"LW","Windsor Spitfires",68,0,1,1,0.01,1
"Mathew Campagna",1994-03-09,"C","Sudbury Wolves",66,0,1,1,0.02,1
