"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Mike Morrison","6.00",180,"Kitchener Rangers",1992-11-07,1,15,15,1,30.41,0,0,0,0,0,0,0,0,0,0,0
"Scott Wedgewood","6.01",187,"Plymouth Whalers",1992-08-14,4,87,91,0.956,47.04,4,2.07,0,1,0,1,1,0,0,0,0
"Chris Carrozzi","6.02",185,"Mississauga St. Michael's Majors",1990-03-02,8,207,223,0.928,29.87,16,2.14,1,5,1,1,2,0,0,0,2
"Mavric Parks","6.00",191,"Barrie Colts",1990-05-07,10,287,310,0.926,30.91,23,2.29,1,7,2,1,3,0,0,0,0
"Edward Pasquale","6.02",216,"Saginaw Spirit",1990-11-20,6,223,237,0.941,39.44,14,2.33,0,2,3,1,4,0,0,0,0
"Petr Mrazek","6.01",184,"Ottawa 67's",1992-02-14,8,233,251,0.928,33.36,18,2.39,0,4,4,0,4,0,0,0,0
"Philipp Grubauer","6.00",170,"Windsor Spitfires",1991-11-25,18,488,537,0.909,29.46,49,2.69,2,16,1,1,2,0,0,0,0
"Jason Missiaen","6.08",220,"Peterborough Petes",1990-05-25,4,136,147,0.925,36.98,11,2.77,0,0,4,0,4,0,0,0,0
"JP Anderson","6.00",195,"Mississauga St. Michael's Majors",1992-04-27,10,289,313,0.923,36.19,24,2.78,1,4,5,0,5,0,0,0,0
"Cody St. Jacques","5.11",180,"Guelph Storm",1990-05-14,1,6,7,0.857,21,1,3,0,0,0,0,0,0,0,0,0
"Chris Perugini","5.11",152,"Ottawa 67's",1991-02-06,5,137,152,0.901,32.86,15,3.24,0,3,1,0,1,0,0,0,0
"Tyler Beskorowany","6.05",204,"Kingston Frontenacs",1990-04-28,7,239,262,0.912,37.11,23,3.26,0,3,3,1,4,0,0,0,0
"Peter Di Salvo","6.00",196,"Barrie Colts",1990-11-14,7,191,214,0.893,30.34,23,3.26,0,5,2,0,2,0,0,0,2
"Matt Hackett","6.03",170,"Plymouth Whalers",1990-03-07,8,274,298,0.919,41.66,24,3.36,0,3,4,0,4,0,0,0,13
"Patrick Killeen","6.04",204,"Brampton Battalion",1990-04-15,11,299,337,0.887,30.47,38,3.44,0,4,6,1,7,0,0,0,0
"Mark Visentin","6.02",201,"Niagara IceDogs",1992-08-07,5,168,186,0.903,36.58,18,3.54,0,1,3,1,4,0,0,0,0
"Troy Passingham","6.04",223,"Windsor Spitfires",1990-11-17,3,26,30,0.867,27.73,4,3.7,0,0,1,0,1,0,0,0,0
"Brandon Maxwell","6.01",199,"Kitchener Rangers",1991-03-22,20,683,759,0.9,38.56,76,3.86,0,11,9,0,9,0,0,0,6
"Michael Hutchinson","6.03",185,"London Knights",1990-03-02,12,315,362,0.87,31.68,47,4.11,0,7,4,1,5,0,0,0,0
"Robin Lehner","6.04",224,"Sault Ste. Marie Greyhounds",1991-07-24,5,139,159,0.874,34.14,20,4.29,0,1,4,0,4,0,0,0,0
"Adam Courchaine","6.03",185,"Erie Otters",1989-02-20,2,70,79,0.886,39.5,9,4.5,0,0,2,0,2,0,0,0,2
"Brandon Foote","6.00",183,"Guelph Storm",1991-04-26,5,154,179,0.86,36.2,25,5.06,0,1,3,1,4,0,0,0,0
"Andrew Loverock","6.03",189,"Sudbury Wolves",1989-07-29,4,111,129,0.86,42,18,5.86,0,0,4,0,4,0,0,0,0
"Ramis Sadikov","6.04",225,"Erie Otters",1991-02-26,2,82,94,0.872,47.32,12,6.04,0,0,2,0,2,0,0,0,0
"Alain Valiquette","6.03",186,"Sudbury Wolves",1990-12-21,3,25,32,0.781,34.45,7,7.54,0,0,0,0,0,0,0,0,0
"Michael Houser","6.02",192,"London Knights",1992-09-13,3,33,40,0.825,45.27,7,7.92,0,0,0,0,0,0,0,0,0
"Bryce O'Hagan","6.02",192,"Sault Ste. Marie Greyhounds",1991-12-27,1,6,9,0.667,27,3,9,0,0,0,0,0,0,0,0,0
