"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Taylor Hall","NO",1991-11-14,"6.01",185,"LW","Windsor Spitfires",19,17,18,35,1.84,16,7,5,12,3,1,32
"Jeff Skinner","NO",1992-05-16,"5.10",197,"C","Kitchener Rangers",20,20,13,33,1.65,3,9,5,14,1,0,14
"Jared Knight","NO",1992-01-16,"5.11",196,"RW","London Knights",12,10,7,17,1.42,6,2,3,5,0,0,12
"Alexander Burmistrov","NO",1991-10-21,"6.00",170,"C","Barrie Colts",17,8,8,16,0.94,11,3,2,5,0,0,22
"Justin Shugg","NO",1991-12-24,"5.11",185,"RW","Windsor Spitfires",18,5,10,15,0.83,0,2,3,5,0,0,10
"Devante Smith-Pelly","NO",1992-06-14,"6.00",216,"LW","Mississauga St. Michael's Majors",16,8,6,14,0.88,-1,4,2,6,2,1,20
"Cam Fowler","NO",1991-12-05,"6.02",199,"D","Windsor Spitfires",19,3,11,14,0.74,-3,2,6,8,1,0,10
"Tyler Toffoli","NO",1992-04-24,"6.00",186,"RW","Ottawa 67's",12,7,6,13,1.08,-2,2,2,4,2,0,10
"Riley Brace","NO",1992-03-07,"5.11",182,"LW","Mississauga St. Michael's Majors",16,3,9,12,0.75,4,1,2,3,1,0,16
"Tyler Seguin","NO",1992-01-31,"6.01",186,"C","Plymouth Whalers",9,5,5,10,1.11,-5,3,2,5,0,1,8
"Ryan Martindale","NO",1991-10-27,"6.04",204,"C","Ottawa 67's",12,4,5,9,0.75,-2,2,2,4,1,0,6
"Dalton Smith","NO",1992-06-30,"6.02",205,"LW","Ottawa 67's",12,3,3,6,0.5,-7,0,2,2,0,0,27
"Gregg Sutch","NO",1992-02-09,"6.03",201,"RW","Mississauga St. Michael's Majors",16,4,1,5,0.31,-2,0,0,0,0,0,10
"Sam Carrick","NO",1992-02-04,"6.00",207,"C","Brampton Battalion",8,2,2,4,0.5,1,0,1,1,0,0,8
"Charles Sarault","NO",1992-02-20,"5.11",184,"C","Kingston Frontenacs",6,1,3,4,0.67,1,0,0,0,0,0,4
"Domenic Alberga","YES",1992-07-28,"6.01",186,"C","Brampton Battalion",11,1,3,4,0.36,0,0,0,0,0,0,4
"Jonathan Jasper","NO",1991-10-07,"6.03",215,"D","Kitchener Rangers",20,1,3,4,0.2,-3,0,0,0,1,0,16
"Ryan O'Connor","NO",1992-01-12,"5.10",186,"D","Saginaw Spirit",6,1,3,4,0.67,-2,0,2,2,0,0,2
"Derek Froats","YES",1992-05-21,"5.11",178,"LW","Kingston Frontenacs",7,0,4,4,0.57,1,0,0,0,0,0,8
"John McFarland","NO",1992-04-02,"6.01",205,"C","Sudbury Wolves",4,3,0,3,0.75,-1,3,0,3,0,0,2
"Philip Lane","YES",1992-05-29,"6.03",205,"RW","Brampton Battalion",11,3,0,3,0.27,-3,1,0,1,2,0,14
"Greg McKegg","NO",1992-06-17,"6.00",200,"C","Erie Otters",4,2,1,3,0.75,-4,0,0,0,0,0,0
"Andrew Crescenzi","YES",1992-07-29,"6.05",213,"C","Kitchener Rangers",20,1,2,3,0.15,-1,0,0,0,0,0,11
"Erik Gudbranson","NO",1992-01-07,"6.04",217,"D","Kingston Frontenacs",7,1,2,3,0.43,0,0,0,0,1,0,6
"Francis Menard","YES",1992-03-02,"6.00",192,"LW","Guelph Storm",5,0,3,3,0.6,1,0,0,0,0,0,0
"Austin Watson","NO",1992-01-13,"6.03",187,"C","Peterborough Petes",4,2,0,2,0.5,-4,0,0,0,0,0,2
"Corey Durocher","YES",1992-05-30,"6.03",191,"LW","Kingston Frontenacs",7,2,0,2,0.29,3,0,0,0,1,0,4
"Brandon Archibald","NO",1992-03-31,"6.04",218,"D","Sault Ste. Marie Greyhounds",5,1,1,2,0.4,-3,0,0,0,0,0,6
"Freddie Hamilton","NO",1992-01-01,"6.01",190,"LW","Niagara IceDogs",5,1,1,2,0.4,-5,0,0,0,0,0,6
"Ivan Telegin","YES",1992-02-28,"6.04",185,"C","Saginaw Spirit",6,1,1,2,0.33,-5,0,0,0,0,0,6
"Jake Cardwell","NO",1992-05-24,"6.02",206,"D","Sudbury Wolves",4,1,1,2,0.5,-3,1,0,1,0,0,4
"Matt Petgrave","YES",1992-01-29,"6.01",190,"D","Niagara IceDogs",5,1,1,2,0.4,-3,1,1,2,0,0,10
"Cameron Wind","NO",1992-01-25,"6.01",216,"D","Brampton Battalion",11,0,2,2,0.18,-2,0,0,0,0,0,10
"Michael Sgarbossa","NO",1992-07-25,"5.11",175,"C","Saginaw Spirit",6,0,2,2,0.33,-3,0,1,1,0,0,4
"Ian Watters","NO",1991-12-27,"6.00",190,"LW","Brampton Battalion",3,1,0,1,0.33,-1,0,0,0,0,0,0
"Michael Hasson","NO",1991-10-29,"6.01",195,"C","Niagara IceDogs",5,1,0,1,0.2,2,0,0,0,0,0,0
"Pieter Schinkelshoek","NO",1992-05-26,"5.11",206,"LW","London Knights",4,1,0,1,0.25,1,0,0,0,0,0,5
"Adam Sedlak","NO",1991-09-21,"6.02",210,"D","Peterborough Petes",4,0,1,1,0.25,-2,0,0,0,0,0,2
"David Quesnele","NO",1992-06-12,"5.11",201,"LW","Peterborough Petes",3,0,1,1,0.33,0,0,0,0,0,0,5
"Josh Shalla","NO",1991-09-25,"6.02",196,"LW","Saginaw Spirit",6,0,1,1,0.17,-4,0,0,0,0,0,2
"Reid McNeill","YES",1992-04-29,"6.04",201,"D","London Knights",12,0,1,1,0.08,4,0,0,0,0,0,0
"Ryan Spooner","NO",1992-01-30,"5.10",175,"C","Peterborough Petes",3,0,1,1,0.33,-1,0,1,1,0,0,2
"Alex O'Neil","YES",1992-06-04,"6.00",205,"LW","Brampton Battalion",2,0,0,0,0,0,0,0,0,0,0,0
"Austin Levi","YES",1992-02-16,"6.04",205,"D","Plymouth Whalers",9,0,0,0,0,2,0,0,0,0,0,8
"Brock Beukeboom","NO",1992-04-01,"6.02",215,"D","Sault Ste. Marie Greyhounds",1,0,0,0,0,-3,0,0,0,0,0,0
"Chris Buonomo","NO",1992-04-23,"5.11",190,"D","Peterborough Petes",4,0,0,0,0,-1,0,0,0,0,0,10
"David Mazurek","NO",1992-02-23,"6.03",193,"C","Barrie Colts",7,0,0,0,0,-2,0,0,0,0,0,2
"David Mead","NO",1992-08-24,"6.01",221,"D","Sault Ste. Marie Greyhounds",5,0,0,0,0,-4,0,0,0,0,0,2
"Dean Pawlaczyk","YES",1992-02-04,"6.00",167,"LW","Barrie Colts",8,0,0,0,0,-1,0,0,0,0,0,7
"Derek Hartwick","NO",1992-04-12,"6.03",189,"D","Ottawa 67's",5,0,0,0,0,0,0,0,0,0,0,4
"Derek Schoenmakers","YES",1992-04-17,"6.02",197,"RW","Mississauga St. Michael's Majors",1,0,0,0,0,0,0,0,0,0,0,0
"Garret Ross","YES",1992-05-26,"6.01",185,"LW","Saginaw Spirit",6,0,0,0,0,0,0,0,0,0,0,12
"Greg Trichilo","YES",1992-01-02,"6.01",173,"RW","Sudbury Wolves",2,0,0,0,0,1,0,0,0,0,0,0
"Keith Maisonville","YES",1992-02-18,"5.07",175,"D","Niagara IceDogs",2,0,0,0,0,2,0,0,0,0,0,0
"Michael Kantor","YES",1992-02-02,"6.00",197,"RW","Saginaw Spirit",6,0,0,0,0,0,0,0,0,0,0,10
"Mike Schwindt","NO",1991-10-17,"6.04",211,"D","Niagara IceDogs",5,0,0,0,0,0,0,0,0,0,0,12
