"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Gabriel Landeskog",1992-11-23,"RW","Kitchener Rangers",20,8,15,23,1.15,7,3,1,1,1,18
"Ryan Murphy",1993-03-31,"D","Kitchener Rangers",20,5,12,17,0.85,-2,2,7,0,0,16
"Seth Griffith",1993-01-04,"RW","London Knights",10,4,3,7,0.7,1,0,0,0,0,2
"Vincent Trocheck",1993-07-11,"C","Saginaw Spirit",6,2,2,4,0.67,-2,0,2,0,0,2
"Barclay Goodrow",1993-02-26,"LW","Brampton Battalion",11,1,3,4,0.36,-5,0,1,0,0,2
"Domenic Alberga",1992-07-28,"C","Brampton Battalion",11,1,3,4,0.36,0,0,0,0,0,4
"Matt MacLeod",1993-07-13,"RW","Brampton Battalion",10,1,3,4,0.4,1,0,0,0,0,7
"Derek Froats",1992-05-21,"LW","Kingston Frontenacs",7,0,4,4,0.57,1,0,0,0,0,8
"Philip Lane",1992-05-29,"RW","Brampton Battalion",11,3,0,3,0.27,-3,1,0,2,0,14
"Alan Quine",1993-02-25,"C","Kingston Frontenacs",7,1,2,3,0.43,0,0,0,0,0,0
"Andrew Crescenzi",1992-07-29,"C","Kitchener Rangers",20,1,2,3,0.15,-1,0,0,0,0,11
"Garrett Meurs",1993-01-12,"C","Plymouth Whalers",9,1,2,3,0.33,1,0,0,0,0,0
"Cody Ceci",1993-12-21,"D","Ottawa 67's",12,0,3,3,0.25,1,0,2,0,0,0
"Francis Menard",1992-03-02,"LW","Guelph Storm",5,0,3,3,0.6,1,0,0,0,0,0
"Ryan Strome",1993-07-11,"RW","Niagara IceDogs",5,0,3,3,0.6,-1,0,2,0,0,0
"Corey Durocher",1992-05-30,"LW","Kingston Frontenacs",7,2,0,2,0.29,3,0,0,1,0,4
"Zack Mitchell",1993-01-07,"RW","Guelph Storm",5,2,0,2,0.4,1,0,0,0,0,0
"Anthony Camara",1993-09-04,"LW","Saginaw Spirit",6,1,1,2,0.33,1,0,0,0,0,5
"Daniel Catenacci",1993-03-09,"C","Sault Ste. Marie Greyhounds",5,1,1,2,0.4,-2,0,0,1,0,6
"Ivan Telegin",1992-02-28,"C","Saginaw Spirit",6,1,1,2,0.33,-5,0,0,0,0,6
"Matt Petgrave",1992-01-29,"D","Niagara IceDogs",5,1,1,2,0.4,-3,1,1,0,0,10
"Matt Puempel",1993-01-24,"LW","Peterborough Petes",4,1,1,2,0.5,0,0,1,0,0,6
"Joseph Cramarossa",1992-10-26,"C","Mississauga St. Michael's Majors",14,0,2,2,0.14,-1,0,0,0,0,11
"Scott Harrington",1993-03-10,"D","London Knights",12,0,2,2,0.17,5,0,0,0,0,4
"Andrew Fritsch",1993-03-24,"LW","Niagara IceDogs",5,1,0,1,0.2,1,0,0,0,0,0
"Kristoff Kontos",1993-12-06,"C","Sudbury Wolves",4,1,0,1,0.25,-3,0,0,0,0,0
"Ben Thomson",1993-01-16,"LW","Kitchener Rangers",11,0,1,1,0.09,0,0,0,0,0,6
"Carter Sandlak",1993-05-18,"LW","Guelph Storm",5,0,1,1,0.2,-4,0,0,0,0,13
"Dane Fox",1993-10-13,"C","London Knights",2,0,1,1,0.5,0,0,1,0,0,0
"Dougie Hamilton",1993-06-17,"D","Niagara IceDogs",5,0,1,1,0.2,-5,0,0,0,0,4
"Frank Corrado",1993-03-26,"D","Sudbury Wolves",4,0,1,1,0.25,0,0,1,0,0,0
"Mitchell Theoret",1993-06-08,"C","Niagara IceDogs",5,0,1,1,0.2,1,0,0,0,0,9
"Nick Cousins",1993-07-20,"C","Sault Ste. Marie Greyhounds",5,0,1,1,0.2,-5,0,0,0,0,2
"Reid McNeill",1992-04-29,"D","London Knights",12,0,1,1,0.08,4,0,0,0,0,0
"Stuart Percy",1993-05-18,"D","Mississauga St. Michael's Majors",16,0,1,1,0.06,-6,0,1,0,0,12
