"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Tobias Rieder","NO",9,1993-01-10,1993,"5.11",179,"RW","Kitchener Rangers",16,13,14,27,1.69,6,5,7,12,3,0,3,4,1,4,1
"Michael Catenacci","NO",10,1991-02-12,1991,"5.07",176,"C","Kitchener Rangers",16,7,19,26,1.63,2,3,11,14,0,1,1,0,1,26,1
"Freddie Hamilton","NO",13,1992-01-01,1992,"6.01",190,"RW","Niagara IceDogs",20,7,17,24,1.2,2,1,7,8,1,1,2,1,1,9,1
"Seth Griffith","NO",17,1993-01-04,1993,"5.11",185,"RW","London Knights",19,10,13,23,1.21,14,5,6,11,1,0,1,3,1,12,1
"Ryan Strome","NO",18,1993-07-11,1993,"6.01",192,"C","Niagara IceDogs",20,7,16,23,1.15,-3,4,6,10,0,1,1,1,0,31,1
"Olli Maatta","YES",2,1994-08-22,1994,"6.02",198,"D","London Knights",19,6,17,23,1.21,11,1,10,11,1,0,1,2,0,2,1
"Dougie Hamilton","NO",27,1993-06-17,1993,"6.05",205,"D","Niagara IceDogs",20,5,18,23,1.15,15,2,8,10,0,0,0,1,0,16,1
"Alex Friesen","NO",8,1991-01-30,1991,"5.10",186,"C","Niagara IceDogs",20,8,14,22,1.1,7,2,4,6,1,0,1,1,0,18,1
"Ryan Murphy","NO",24,1993-03-31,1993,"5.11",179,"D","Kitchener Rangers",16,2,20,22,1.38,-2,1,8,9,0,1,1,0,0,12,1
"David Pacan","NO",22,1991-03-31,1991,"6.03",205,"RW","Niagara IceDogs",20,8,12,20,1,13,1,4,5,1,0,1,3,0,14,1
"Tyler Toffoli","NO",16,1992-04-24,1992,"6.00",186,"RW","Ottawa 67's",18,11,7,18,1,-4,3,3,6,0,1,1,3,0,21,1
"Andrew Agozzino","NO",9,1991-01-03,1991,"5.10",187,"LW","Niagara IceDogs",20,11,7,18,0.9,4,4,4,8,0,0,0,1,0,16,1
"Vladislav Namestnikov","NO",18,1992-11-22,1992,"6.00",175,"C","London Knights",19,4,14,18,0.95,10,1,3,4,0,2,2,4,0,20,1
"Austin Watson","NO",51,1992-01-13,1992,"6.03",187,"C","London Knights",19,10,7,17,0.89,10,3,2,5,0,0,0,1,2,10,1
"Brandon Saad","NO",22,1992-10-27,1992,"6.03",206,"LW","Saginaw Spirit",12,8,9,17,1.42,3,3,2,5,0,0,0,1,1,4,1
"Shane Prince","NO",18,1992-11-16,1992,"5.11",190,"LW","Ottawa 67's",18,7,9,16,0.89,-1,0,5,5,1,0,1,1,2,6,1
"Ryan Rupert","NO",64,1994-06-02,1994,"5.09",190,"C","London Knights",19,9,6,15,0.79,5,3,1,4,0,0,0,1,2,31,1
"Sean Monahan","NO",20,1994-10-12,1994,"6.02",193,"C","Ottawa 67's",18,8,7,15,0.83,-6,3,3,6,1,1,2,2,0,12,1
"Stefan Noesen","NO",11,1993-02-12,1993,"6.02",205,"LW","Plymouth Whalers",7,7,8,15,2.14,1,3,5,8,1,1,2,1,0,4,1
"Cody Ceci","NO",83,1993-12-21,1993,"6.03",215,"D","Ottawa 67's",18,2,13,15,0.83,1,2,2,4,0,1,1,0,0,4,1
"Ivan Telegin","NO",16,1992-02-28,1992,"6.04",185,"C","Barrie Colts",13,5,9,14,1.08,6,2,3,5,1,0,1,2,0,6,1
"Josh Shalla","NO",25,1991-09-25,1991,"6.02",196,"LW","Saginaw Spirit",12,4,10,14,1.17,2,1,6,7,0,0,0,1,0,2,1
"Tom Wilson","NO",10,1994-03-29,1994,"6.04",210,"RW","Plymouth Whalers",13,7,6,13,1,10,2,1,3,0,0,0,0,1,39,1
"Mark Scheifele","NO",19,1993-03-15,1993,"6.03",187,"C","Barrie Colts",13,5,7,12,0.92,7,2,1,3,0,1,1,0,0,12,1
"Cody Sol","NO",41,1991-02-11,1991,"6.06",242,"D","Kitchener Rangers",16,4,8,12,0.75,-3,1,3,4,0,0,0,1,1,29,1
"Rickard Rakell","NO",24,1993-05-05,1993,"6.01",195,"C","Plymouth Whalers",13,2,10,12,0.92,0,0,2,2,1,0,1,0,0,0,1
"Michael Fine","NO",72,1991-05-10,1991,"6.00",189,"RW","Saginaw Spirit",12,6,5,11,0.92,-2,2,4,6,1,0,1,1,0,20,1
"Tom Kuhnhackl","NO",19,1992-01-21,1992,"6.02",183,"LW","Niagara IceDogs",20,6,5,11,0.55,0,2,1,3,0,0,0,1,0,14,1
"Vincent Trocheck","NO",89,1993-07-11,1993,"6.00",190,"C","Saginaw Spirit",12,5,6,11,0.92,-2,3,3,6,0,1,1,1,0,10,1
"Boone Jenner","NO",22,1993-06-15,1993,"6.02",204,"C","Oshawa Generals",6,4,7,11,1.83,2,1,2,3,1,0,1,1,1,10,1
"Mitchell Heard","NO",15,1992-03-12,1992,"6.01",194,"C","Plymouth Whalers",13,4,7,11,0.85,0,2,1,3,0,0,0,2,0,26,1
"Andrew Crescenzi","NO",20,1992-07-29,1992,"6.05",213,"C","Kitchener Rangers",15,4,7,11,0.73,0,4,5,9,0,0,0,0,0,20,1
"Greg McKegg","NO",92,1992-06-17,1992,"6.00",200,"C","London Knights",15,4,7,11,0.73,5,2,5,7,0,0,0,1,1,2,1
"Brett Ritchie","NO",20,1993-07-01,1993,"6.04",215,"RW","Niagara IceDogs",20,3,8,11,0.55,0,3,0,3,0,1,1,1,0,14,1
"Garret Ross","NO",5,1992-05-26,1992,"6.01",185,"LW","Saginaw Spirit",12,6,4,10,0.83,1,1,1,2,1,0,1,0,0,23,1
"Alex Aleardi","NO",40,1992-07-30,1992,"5.09",167,"RW","Plymouth Whalers",13,6,4,10,0.77,2,1,1,2,1,1,2,1,0,8,1
"Ben Thomson","NO",15,1993-01-16,1993,"6.04",220,"LW","Kitchener Rangers",16,5,5,10,0.63,-6,1,0,1,0,0,0,0,0,36,1
"Jake Cardwell","NO",27,1992-05-24,1992,"6.02",206,"D","Ottawa 67's",18,4,6,10,0.56,-4,2,4,6,0,0,0,0,0,16,1
"Tyler Graovac","NO",19,1993-04-27,1993,"6.04",203,"C","Ottawa 67's",18,4,6,10,0.56,2,1,1,2,0,1,1,1,0,12,1
"Austin Levi","NO",7,1992-02-16,1992,"6.04",205,"D","Plymouth Whalers",13,2,8,10,0.77,5,0,4,4,0,1,1,0,0,10,1
"J.T. Miller","NO",12,1993-03-14,1993,"6.02",210,"LW","Plymouth Whalers",13,2,8,10,0.77,-3,1,3,4,0,0,0,1,0,18,1
"Mike Cazzola","NO",39,1991-03-08,1991,"5.07",175,"C","Ottawa 67's",18,2,8,10,0.56,-2,1,2,3,0,1,1,1,0,16,1
"Brad Walch","NO",2,1991-01-24,1991,"6.01",207,"D","Saginaw Spirit",12,1,9,10,0.83,4,0,3,3,0,0,0,0,0,6,1
"Jesse Graham","NO",2,1994-05-13,1994,"5.11",172,"D","Niagara IceDogs",20,1,9,10,0.5,-1,0,2,2,0,1,1,0,0,20,1
"Steven Shipley","NO",10,1992-04-22,1992,"6.03",210,"C","Niagara IceDogs",20,5,4,9,0.45,2,1,3,4,1,0,1,0,0,4,1
"Max Domi","YES",16,1995-03-02,1995,"5.10",194,"C","London Knights",19,4,5,9,0.47,4,0,2,2,0,0,0,0,0,10,1
"Matt Rupert","NO",46,1994-06-02,1994,"5.09",188,"LW","London Knights",19,4,5,9,0.47,4,0,0,0,0,0,0,0,0,23,1
"Tyler Randell","NO",11,1991-06-15,1991,"6.01",197,"RW","Kitchener Rangers",6,7,1,8,1.33,-1,2,0,2,0,0,0,1,0,14,1
"Andy Bathgate","NO",9,1991-02-26,1991,"6.01",175,"C","Plymouth Whalers",13,5,3,8,0.62,-4,2,3,5,2,0,2,1,0,6,1
"Sam Carrick","NO",16,1992-02-04,1992,"6.00",207,"C","Brampton Battalion",8,4,4,8,1,-1,1,1,2,1,1,2,0,0,16,1
"Jared Knight","NO",97,1992-01-16,1992,"5.11",196,"RW","London Knights",15,4,4,8,0.53,-2,1,1,2,0,0,0,0,0,9,1
"Dalton Smith","NO",33,1992-06-30,1992,"6.02",205,"LW","Ottawa 67's",18,4,4,8,0.44,-7,0,1,1,3,0,3,0,0,46,1
"Colin Behenna","NO",24,1991-06-06,1991,"5.08",170,"C","Barrie Colts",11,3,5,8,0.73,5,2,0,2,0,0,0,2,0,0,1
"Jarred Tinordi","NO",24,1992-02-20,1992,"6.07",218,"D","London Knights",19,3,5,8,0.42,15,0,0,0,0,0,0,1,0,27,1
"Dalton Young","NO",77,1993-07-14,1993,"6.02",170,"D","Saginaw Spirit",11,2,6,8,0.73,0,0,3,3,0,0,0,0,0,4,1
"Dario Trutmann","NO",25,1992-09-17,1992,"6.00",190,"D","Plymouth Whalers",13,2,6,8,0.62,0,1,3,4,0,0,0,0,0,10,1
"Marc Zanetti","NO",10,1991-05-20,1991,"6.00",213,"D","Ottawa 67's",10,1,7,8,0.8,0,0,1,1,0,0,0,0,0,11,1
"Chris Tierney","NO",71,1994-07-01,1994,"6.01",187,"C","London Knights",19,5,2,7,0.37,1,0,0,0,1,0,1,1,0,4,1
"Cameron Brace","NO",11,1993-04-08,1993,"5.10",175,"RW","Owen Sound Attack",5,4,3,7,1.4,-4,2,1,3,1,1,2,0,0,15,1
"Mitchell Theoret","NO",23,1993-06-08,1993,"6.02",210,"LW","Niagara IceDogs",17,4,3,7,0.41,4,0,0,0,0,0,0,2,0,4,1
"Brandon Archibald","NO",3,1992-03-31,1992,"6.04",218,"D","Saginaw Spirit",12,3,4,7,0.58,0,1,2,3,0,0,0,1,0,14,1
"Daniel Erlich","NO",17,1991-03-13,1991,"5.06",170,"LW","Barrie Colts",13,3,4,7,0.54,-5,0,4,4,0,0,0,0,0,4,1
"Riley Brace","NO",25,1992-03-07,1992,"5.11",182,"LW","Mississauga St. Michaels Majors",6,2,5,7,1.17,3,1,1,2,0,1,1,0,0,12,1
"Zach Lorentz","NO",71,1993-01-19,1993,"6.00",195,"LW","Kitchener Rangers",16,2,5,7,0.44,-9,0,0,0,0,0,0,0,0,2,1
"Tyler Ferry","NO",21,1992-12-09,1992,"5.10",185,"D","London Knights",19,2,5,7,0.37,8,0,0,0,0,0,0,1,0,12,1
"Scott Harrington","NO",6,1993-03-10,1993,"6.01",202,"D","London Knights",19,1,6,7,0.37,11,0,1,1,0,0,0,1,0,6,1
"Francis Menard","NO",10,1992-03-02,1992,"6.00",192,"C","Guelph Storm",6,3,3,6,1,2,0,1,1,0,0,0,1,1,0,1
"Carlos Amestoy","NO",17,1992-03-24,1992,"5.08",165,"C","Saginaw Spirit",12,3,3,6,0.5,-1,1,0,1,0,0,0,1,0,10,1
"Myles Doan","NO",12,1992-05-18,1992,"5.10",188,"C","Niagara IceDogs",16,3,3,6,0.38,-4,0,0,0,0,0,0,1,0,17,1
"Brett Gustavsen","YES",25,1994-03-13,1994,"5.07",180,"LW","Ottawa 67's",17,3,3,6,0.35,3,0,0,0,0,0,0,1,0,14,1
"Steven Janes","NO",17,1993-02-24,1993,"6.04",203,"RW","Ottawa 67's",18,3,3,6,0.33,2,0,0,0,0,0,0,0,0,18,1
"Radek Faksa","YES",94,1994-01-09,1994,"6.03",213,"C","Kitchener Rangers",13,2,4,6,0.46,-3,1,2,3,0,1,1,1,0,10,1
"Josh MacDonald","YES",11,1994-03-26,1994,"5.11",186,"LW","Barrie Colts",13,2,4,6,0.46,3,0,1,1,0,0,0,0,0,2,1
"Steven Beyers","NO",12,1992-06-12,1992,"5.11",174,"RW","Barrie Colts",7,1,5,6,0.86,2,0,2,2,1,0,1,0,0,2,1
"Brett Mackie","NO",18,1991-05-25,1991,"5.09",163,"LW","Brampton Battalion",8,0,6,6,0.75,1,0,0,0,0,0,0,0,0,8,1
"Philip Lane","NO",10,1992-05-29,1992,"6.03",205,"RW","Brampton Battalion",8,4,1,5,0.63,3,1,0,1,1,0,1,1,1,7,1
"Jason Dickinson","YES",11,1995-07-04,1995,"6.02",191,"LW","Guelph Storm",6,3,2,5,0.83,-1,1,0,1,0,0,0,0,0,6,1
"Lucas Lessio","NO",38,1993-01-23,1993,"6.01",202,"LW","Oshawa Generals",6,3,2,5,0.83,-1,0,0,0,0,0,0,1,0,6,1
"Brett Thompson","NO",93,1991-01-31,1991,"5.09",165,"C","Sarnia Sting",6,3,2,5,0.83,-2,1,2,3,0,0,0,0,0,4,1
"Chris Bigras","YES",24,1995-02-22,1995,"6.02",194,"D","Owen Sound Attack",5,2,3,5,1,5,1,2,3,0,0,0,0,0,0,1
"Scott Kosmachuk","NO",24,1994-01-24,1994,"6.00",189,"RW","Guelph Storm",6,2,3,5,0.83,1,2,1,3,0,0,0,0,0,12,1
"Scott Laughton","NO",21,1994-05-30,1994,"6.01",190,"C","Oshawa Generals",6,2,3,5,0.83,-5,1,1,2,0,0,0,0,0,17,1
"Ludvig Rensfeldt","NO",79,1992-01-29,1992,"6.03",198,"LW","Sarnia Sting",6,2,3,5,0.83,2,0,0,0,0,0,0,1,0,2,1
"Nail Yakupov","NO",10,1993-10-06,1993,"5.11",190,"RW","Sarnia Sting",6,2,3,5,0.83,-7,1,3,4,0,0,0,0,0,4,1
"Ian Watters","NO",27,1991-12-27,1991,"6.00",190,"LW","Brampton Battalion",8,2,3,5,0.63,1,1,1,2,1,0,1,1,0,8,1
"Matt Mistele","NO",22,1995-10-17,1995,"6.02",190,"LW","Plymouth Whalers",12,2,3,5,0.42,3,0,0,0,0,1,1,1,0,11,1
"Anthony Camara","NO",15,1993-09-04,1993,"6.01",194,"LW","Barrie Colts",13,2,3,5,0.38,-3,1,0,1,0,0,0,1,0,22,1
"Aaron Ekblad","YES",5,1996-02-07,1996,"6.04",217,"D","Barrie Colts",13,2,3,5,0.38,-1,0,1,1,0,0,0,0,0,8,1
"Josh Anderson","YES",77,1994-05-07,1994,"6.03",212,"RW","London Knights",19,2,3,5,0.26,4,0,0,0,0,0,0,0,0,4,1
"Brock Beukeboom","NO",25,1992-04-01,1992,"6.02",215,"D","Niagara IceDogs",19,2,3,5,0.26,-1,0,0,0,0,0,0,0,1,8,1
"Nicklas Jensen","NO",17,1993-03-06,1993,"6.03",187,"RW","Oshawa Generals",6,1,4,5,0.83,0,0,0,0,0,1,1,0,0,0,1
"Tanner Richard","NO",27,1993-04-06,1993,"6.00",186,"LW","Guelph Storm",6,1,4,5,0.83,-4,0,2,2,0,0,0,0,1,6,1
"Dylan Blujus","NO",6,1994-01-22,1994,"6.03",200,"D","Brampton Battalion",8,1,4,5,0.63,0,0,3,3,0,0,0,0,0,4,1
"Cameron Wind","NO",8,1992-01-25,1992,"6.01",216,"D","Brampton Battalion",8,1,4,5,0.63,-3,0,2,2,0,0,0,1,0,4,1
