"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Alex Fotinos","6.00",181,"Barrie Colts",1995-01-02,1,17,17,1,28.15,0,0,0,0,0,0,0,0,0,0,0
"Matt Mahalak","6.02",186,"Plymouth Whalers",1993-01-22,1,1,1,1,37.11,0,0,0,0,0,0,0,0,0,0,0
"Clint Windsor","6.04",222,"Saginaw Spirit",1993-11-02,1,23,24,0.958,27.19,1,1.13,0,0,0,0,0,0,0,0,0
"Franky Palazzese","6.01",160,"Kitchener Rangers",1993-05-28,2,33,35,0.943,31.15,2,1.78,0,0,0,1,1,0,0,0,0
"Brandon Maxwell","6.01",199,"Mississauga St. Michaels Majors",1991-03-22,6,181,194,0.933,30.79,13,2.06,1,2,3,1,4,0,0,0,4
"Christopher Festarini","6.02",191,"Niagara IceDogs",1993-06-03,1,15,16,0.938,33.84,1,2.12,0,0,0,0,0,0,0,0,0
"Michael Houser","6.02",192,"London Knights",1992-09-13,19,563,607,0.928,31.05,44,2.25,1,16,2,1,3,0,0,0,2
"Matej Machovsky","6.02",186,"Brampton Battalion",1993-07-25,8,180,200,0.9,22.79,20,2.28,1,4,3,1,4,0,0,0,0
"Mathias Niederberger","5.11",171,"Barrie Colts",1992-11-26,13,435,466,0.933,35.22,31,2.34,1,7,5,1,6,0,0,0,0
"Scott Wedgewood","6.01",187,"Plymouth Whalers",1992-08-14,13,397,428,0.928,32.9,31,2.38,2,7,6,0,6,0,0,0,0
"Joel Vienneau","6.03",175,"Sudbury Wolves",1992-01-18,2,51,56,0.911,27.06,5,2.42,0,0,0,1,1,0,0,0,0
"Mark Visentin","6.02",201,"Niagara IceDogs",1992-08-07,20,548,599,0.915,29.52,51,2.51,0,13,7,0,7,0,0,0,0
"Petr Mrazek","6.01",184,"Ottawa 67's",1992-02-14,17,574,620,0.926,34.92,46,2.59,0,9,4,4,8,0,0,0,0
"John Gibson","6.03",208,"Kitchener Rangers",1993-07-14,16,605,645,0.938,43.07,40,2.67,1,8,6,1,7,0,0,0,2
"Malcolm Subban","6.02",201,"Belleville Bulls",1993-12-21,6,198,216,0.917,35.14,18,2.93,0,2,3,1,4,0,0,0,0
"Jake Paterson","6.01",183,"Saginaw Spirit",1994-05-03,12,324,359,0.903,31.24,35,3.05,0,6,3,3,6,0,0,0,0
"Jaroslav Pavelka","6.02",189,"Windsor Spitfires",1993-09-12,4,122,136,0.897,36.05,14,3.71,0,0,4,0,4,0,0,0,0
"JP Anderson","6.00",195,"Sarnia Sting",1992-04-27,6,197,219,0.9,36.97,22,3.71,0,2,2,1,3,0,0,0,0
"Daniel Altshuller","6.03",200,"Oshawa Generals",1994-07-24,5,202,220,0.918,47.26,18,3.87,0,2,2,0,2,0,0,0,0
"Scott Stajcer","6.03",196,"Owen Sound Attack",1991-06-14,3,84,96,0.875,31.28,12,3.91,0,1,2,0,2,0,0,0,0
"Michael Nishi","6.01",165,"Ottawa 67's",1993-11-01,1,31,35,0.886,35,4,4,0,0,1,0,1,0,0,0,0
"Garret Sparks","6.02",213,"Guelph Storm",1993-06-28,6,178,202,0.881,37.47,24,4.45,0,2,3,1,4,0,0,0,0
"Brandon Hope","6.01",196,"Sarnia Sting",1994-03-18,1,15,17,0.882,39.03,2,4.59,0,0,1,0,1,0,0,0,0
"Johan Mattsson","6.04",192,"Sudbury Wolves",1992-04-25,3,73,85,0.859,34.17,12,4.82,0,0,3,0,3,0,0,0,0
"Jordan Binnington","6.02",169,"Owen Sound Attack",1993-07-11,2,63,73,0.863,36.5,10,5,0,0,2,0,2,0,0,0,0
"Brandon Foote","6.00",183,"Guelph Storm",1991-04-26,1,23,27,0.852,38.1,4,5.64,0,0,0,0,0,0,0,0,0
"Kevin Bailie","6.03",195,"Oshawa Generals",1992-01-03,2,45,56,0.804,42,11,8.25,0,0,2,0,2,0,0,0,0
"John Cullen","5.11",175,"Windsor Spitfires",1991-04-20,1,7,10,0.7,52.48,3,15.74,0,0,0,0,0,0,0,0,0
"Tyson Teichmann","6.00",146,"London Knights",1993-05-19,1,1,2,0.5,42.11,1,21.05,0,0,0,0,0,0,0,0,0
