"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Jordan Subban",1995-03-03,"D","Belleville Bulls",5,0,0,0,0,-1,0,0,0,0,4
"Josh Burnside",1995-02-11,"LW","Mississauga St. Michaels Majors",6,0,0,0,0,-2,0,0,0,0,0
"Justice Dundas",1994-05-02,"LW","Sarnia Sting",3,0,0,0,0,0,0,0,0,0,0
"Justin Auger",1994-05-14,"RW","Guelph Storm",6,0,0,0,0,-1,0,0,0,0,0
"Mitchell Dempsey",1995-02-27,"LW","Plymouth Whalers",5,0,0,0,0,0,0,0,0,0,0
"Nicholas Baptiste",1995-08-04,"RW","Sudbury Wolves",4,0,0,0,0,-3,0,0,0,0,2
"Nick Moutrey",1995-06-24,"RW","Saginaw Spirit",12,0,0,0,0,-2,0,0,0,0,4
"Ramon Lopez",1995-04-04,"D","Saginaw Spirit",8,0,0,0,0,1,0,0,0,0,0
"Ryan Duhaime",1994-02-19,"D","Mississauga St. Michaels Majors",6,0,0,0,0,-2,0,0,0,0,0
"Sam  Studnicka",1995-01-15,"RW","Windsor Spitfires",4,0,0,0,0,0,0,0,0,0,9
"Sam Povorozniouk",1995-02-11,"C","Saginaw Spirit",1,0,0,0,0,0,0,0,0,0,0
"Scott Teskey",1995-05-04,"RW","Mississauga St. Michaels Majors",1,0,0,0,0,0,0,0,0,0,0
"Ty Bilcke",1994-04-23,"RW","Windsor Spitfires",1,0,0,0,0,0,0,0,0,0,0
"Vadim Khlopotov",1994-04-22,"LW","Saginaw Spirit",1,0,0,0,0,0,0,0,0,0,0
