"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Wyatt Johnston","NO",55,2003-05-14,2003,"6.02",181,"C","Windsor Spitfires",68,46,78,124,1.82,29,12,30,42,3,1,4,7,3,26,1
"Rory Kerins","NO",23,2002-04-12,2002,"5.11",186,"C","Soo Greyhounds",67,43,75,118,1.76,14,12,32,44,0,2,2,8,2,49,1
"Lucas Edmonds","NO",27,2001-01-27,2001,"5.11",183,"RW","Kingston Frontenacs",68,34,79,113,1.66,29,9,31,40,2,2,4,5,2,14,1
"Luke Evangelista","NO",14,2002-02-21,2002,"6.00",171,"RW","London Knights",62,55,56,111,1.79,29,8,26,34,5,3,8,6,12,48,1
"Brandon Coe","NO",21,2001-12-01,2001,"6.05",203,"RW","North Bay Battalion",62,34,67,101,1.63,33,8,28,36,0,0,0,8,2,40,1
"Logan Morrison","NO",9,2002-07-09,2002,"6.00",180,"C","Hamilton Bulldogs",60,34,66,100,1.67,44,6,28,34,0,0,0,4,2,8,1
"Brennan Othmann","NO",78,2003-01-05,2003,"6.00",180,"LW","Flint Firebirds",66,50,47,97,1.47,17,13,14,27,4,1,5,6,2,65,1
"Shane Wright","NO",51,2004-01-05,2004,"6.01",185,"C","Kingston Frontenacs",63,32,62,94,1.49,23,8,20,28,1,1,2,5,0,22,1
"Matvey Petrov","NO",22,2003-03-12,2003,"6.02",195,"LW","North Bay Battalion",63,40,50,90,1.43,32,10,22,32,0,0,0,6,2,28,1
"Mitchell Russell","NO",27,2001-03-06,2001,"6.00",193,"RW","North Bay Battalion",64,41,47,88,1.38,33,13,18,31,3,1,4,4,2,26,1
"Jordan Frasca","NO",14,2001-07-05,2001,"6.02",184,"C","Kingston Frontenacs",61,42,45,87,1.43,31,17,11,28,3,3,6,5,2,30,1
"Martin Chromiak","NO",8,2002-08-20,2002,"5.10",192,"LW","Kingston Frontenacs",60,44,42,86,1.43,15,10,19,29,1,1,2,3,1,8,1
"Ty Tullio","NO",71,2002-04-05,2002,"5.11",180,"RW","Oshawa Generals",65,42,44,86,1.32,-16,14,22,36,0,0,0,6,2,62,1
"Emmett Sproule","NO",25,2001-03-19,2001,"5.11",174,"LW","Peterborough Petes",65,30,56,86,1.32,1,6,22,28,4,4,8,3,3,25,1
"Matthew Maggio","NO",81,2002-11-25,2002,"6.00",185,"RW","Windsor Spitfires",66,38,47,85,1.29,28,10,12,22,0,0,0,8,3,22,1
"Antonio Stranges","NO",40,2002-02-05,2002,"5.11",188,"LW","London Knights",60,31,53,84,1.4,7,10,24,34,0,0,0,6,0,6,1
"Tucker Robertson","NO",22,2003-06-22,2003,"5.10",184,"C","Peterborough Petes",68,41,40,81,1.19,-12,9,19,28,8,1,9,2,2,48,1
"Will Cuylle","NO",13,2002-02-05,2002,"6.04",210,"LW","Windsor Spitfires",59,43,37,80,1.36,22,13,16,29,2,1,3,9,2,48,1
"Ty Voit","NO",96,2003-06-10,2003,"5.09",151,"RW","Sarnia Sting",67,26,54,80,1.19,-9,6,16,22,1,1,2,3,1,10,1
"Tye Kartye","NO",12,2001-04-30,2001,"6.01",199,"LW","Soo Greyhounds",63,45,34,79,1.25,21,23,3,26,2,0,2,9,1,57,1
"Avery Hayes","NO",13,2002-10-10,2002,"5.10",175,"RW","Hamilton Bulldogs",66,41,38,79,1.2,43,12,11,23,3,0,3,7,1,37,1
"James Hardie","NO",14,2002-01-18,2002,"5.11",180,"LW","Mississauga Steelheads",68,41,36,77,1.13,14,13,13,26,2,1,3,8,1,31,1
"Sasha Pastujov","NO",12,2003-07-15,2003,"6.01",187,"RW","Guelph Storm",65,34,42,76,1.17,-12,10,18,28,0,0,0,3,0,33,1
"Luca Del Bel Belluz","NO",73,2003-11-10,2003,"6.01",178,"C","Mississauga Steelheads",68,30,46,76,1.12,23,12,15,27,2,0,2,8,1,28,1
"Cole MacKay","NO",24,2001-06-13,2001,"5.11",185,"RW","Soo Greyhounds",61,28,47,75,1.23,14,8,21,29,3,1,4,1,2,35,1
"Francesco Arcuri","NO",13,2003-06-13,2003,"6.01",200,"LW","Kingston Frontenacs",66,34,40,74,1.12,15,6,11,17,0,0,0,6,0,35,1
