"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"David Goyette",2004-03-27,"C","Sudbury Wolves",66,33,40,73,1.11,-6,6,9,1,2,33
"Cedrick Guindon",2004-04-21,"C","Owen Sound Attack",68,30,29,59,0.87,11,4,8,5,1,16
"Servac Petrovsky",2004-08-10,"C","Owen Sound Attack",65,28,26,54,0.83,6,9,10,7,1,28
"Matyas Sapovaliv",2004-02-12,"C","Saginaw Spirit",68,18,34,52,0.76,-18,7,11,0,0,26
"Owen Beck",2004-02-03,"C","Mississauga Steelheads",68,21,30,51,0.75,17,5,10,2,0,14
"Ty Nelson",2004-03-30,"D","North Bay Battalion",66,9,42,51,0.77,24,4,20,5,0,39
"Matthew Poitras",2004-03-10,"C","Guelph Storm",68,21,29,50,0.74,5,5,7,4,0,58
"Evan Konyen",2004-02-22,"RW","Sudbury Wolves",66,16,34,50,0.76,-3,5,8,2,0,35
"Bryce McConnell-Barker",2004-06-04,"C","Soo Greyhounds",68,23,26,49,0.72,1,7,4,2,1,14
"Gavin Hayes",2004-05-14,"RW","Flint Firebirds",65,19,30,49,0.75,8,3,13,2,0,18
"Vinzenz Rohrer",2004-09-09,"RW","Ottawa 67's",64,25,23,48,0.75,-9,7,8,3,0,14
"Colby Barlow",2005-02-14,"LW","Owen Sound Attack",59,30,17,47,0.8,2,5,5,7,1,18
"Beau Jelsma",2004-04-28,"C","Barrie Colts",68,27,20,47,0.69,12,4,2,6,0,23
"Kocha Delic",2004-03-11,"C","Sudbury Wolves",65,17,29,46,0.71,6,2,8,1,1,29
"Ryan Abraham",2004-04-05,"C","Windsor Spitfires",64,15,31,46,0.72,18,1,6,0,1,60
"Calum Ritchie",2005-01-21,"C","Oshawa Generals",65,19,26,45,0.69,-7,10,13,2,0,12
"Jake Karabela",2004-03-07,"LW","Guelph Storm",68,12,33,45,0.66,14,3,10,1,0,28
"Coulson Pitre",2004-12-13,"RW","Flint Firebirds",52,23,21,44,0.85,11,0,4,4,1,27
"Zakary Lavoie",2004-03-13,"RW","Mississauga Steelheads",64,23,21,44,0.69,15,3,2,3,2,18
"Pano Fimis",2004-06-17,"C","Niagara IceDogs",54,14,30,44,0.81,-13,5,5,1,0,26
"Michael Buchinger",2004-04-25,"D","Guelph Storm",63,5,39,44,0.7,15,2,17,1,1,47
"Paul Ludwinski",2004-04-23,"C","Kingston Frontenacs",67,16,27,43,0.64,2,2,5,4,1,20
"Aidan Castle",2004-01-08,"RW","Niagara IceDogs",68,15,28,43,0.63,-29,4,8,1,0,24
"Hunter Haight",2004-04-04,"C","Barrie Colts",63,22,19,41,0.65,7,3,5,1,0,13
"Max Namestnikov",2004-02-06,"C","Sarnia Sting",68,16,24,40,0.59,-12,5,8,3,1,49
"Kirill Kudryavtsev",2004-02-05,"D","Soo Greyhounds",68,5,34,39,0.57,13,1,12,0,0,10
"Ethan Miedema",2005-03-22,"LW","Windsor Spitfires",65,14,24,38,0.58,10,4,3,1,1,18
"Gavin Bryant",2004-07-24,"C","Owen Sound Attack",63,9,29,38,0.6,0,1,4,1,1,15
"Nick Lardis",2005-07-08,"RW","Peterborough Petes",63,18,19,37,0.59,-5,4,4,2,0,12
"Cam Allen",2005-01-07,"D","Guelph Storm",65,13,24,37,0.57,13,7,10,2,0,46
"Luca Pinelli",2005-04-05,"LW","Ottawa 67's",59,14,22,36,0.61,-6,5,6,1,0,42
"Brady Stonehouse",2004-08-06,"RW","Ottawa 67's",68,18,17,35,0.51,-10,5,2,2,2,52
"Dalyn Wakely",2004-03-05,"C","North Bay Battalion",67,20,14,34,0.51,6,2,1,2,0,21
"Calem Mangone",2004-11-04,"RW","Saginaw Spirit",47,13,21,34,0.72,-12,2,4,2,0,28
"Owen Van Steensel",2004-08-04,"LW","North Bay Battalion",66,10,24,34,0.52,21,3,0,1,0,12
"Carson Rehkopf",2005-01-07,"C","Kitchener Rangers",65,18,15,33,0.51,-20,5,2,1,0,42
"Quentin Musty",2005-07-06,"LW","Sudbury Wolves",50,12,19,31,0.62,-21,1,5,4,0,70
"Rodwin Dionicio",2004-03-30,"D","Niagara IceDogs",57,6,25,31,0.54,-22,4,12,0,0,45
"Luca D'Amato",2004-08-18,"D","Flint Firebirds",67,7,23,30,0.45,8,2,3,1,0,28
"Brice Cooke",2004-03-23,"LW","Niagara IceDogs",64,18,10,28,0.44,-25,5,3,2,0,42
"Valentin Zhugin",2004-12-13,"LW","Guelph Storm",61,17,11,28,0.46,15,2,1,1,0,22
"Ruslan Gazizov",2004-01-21,"LW","London Knights",54,10,18,28,0.52,-6,0,7,1,0,22
"Spencer Sova",2004-01-10,"D","Erie Otters",64,9,19,28,0.44,-24,4,9,1,0,14
"Alex Assadourian",2005-07-24,"LW","Sudbury Wolves",66,8,19,27,0.41,-4,0,1,0,0,15
"Patrick Thomas",2004-08-21,"C","Hamilton Bulldogs",64,6,21,27,0.42,13,0,1,1,0,4
"Luke Misa",2005-11-25,"C","Mississauga Steelheads",62,4,22,26,0.42,10,0,4,0,0,6
"Marco Mignosa",2005-04-13,"RW","Soo Greyhounds",55,13,12,25,0.45,0,1,0,0,0,13
"Sam Alfano",2004-01-18,"RW","Peterborough Petes",65,13,12,25,0.38,-15,4,3,1,0,29
"Sebastien Gervais",2005-04-11,"LW","Saginaw Spirit",66,10,15,25,0.38,-26,0,0,1,0,15
"Andrew LeBlanc",2004-06-03,"C","Kitchener Rangers",57,6,19,25,0.44,-5,0,7,1,1,34
"Matthew Soto",2005-08-31,"RW","Kingston Frontenacs",53,6,19,25,0.47,-19,1,3,1,0,18
"Owen Allard",2004-01-13,"C","Soo Greyhounds",66,14,10,24,0.36,-1,1,0,2,0,14
"Carey Terrance",2005-05-10,"C","Erie Otters",62,10,14,24,0.39,-16,1,2,3,0,20
"PJ Forgione",2004-11-12,"D","Saginaw Spirit",67,6,18,24,0.36,-18,1,0,0,0,75
"Justin DeZoete",2004-01-02,"RW","Peterborough Petes",64,11,12,23,0.36,-16,6,4,1,0,6
"Zander Veccia",2004-07-27,"RW","Mississauga Steelheads",61,10,13,23,0.38,5,2,2,0,2,30
"Isaiah George",2004-02-15,"D","London Knights",67,6,17,23,0.34,23,0,2,1,0,32
"Juan Copeland",2005-09-03,"LW","Niagara IceDogs",58,12,10,22,0.38,-11,1,0,0,0,23
"Zach Filak",2004-01-21,"C","Sarnia Sting",62,10,12,22,0.35,-15,5,1,1,0,35
"Luke McNamara",2005-03-02,"C","Saginaw Spirit",63,7,15,22,0.35,-24,1,2,2,0,26
