"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Derek Smyth","YES",2004-04-17,"6.05",212,"D","Ottawa 67's",53,2,5,7,0.13,1,0,0,0,0,0,34
"Dylan Gordon","YES",2004-08-13,"5.07",156,"LD","Mississauga Steelheads",31,1,6,7,0.23,12,0,0,0,1,0,8
"Cameron Lowe","YES",2004-03-04,"6.01",174,"C","Erie Otters",47,4,2,6,0.13,-17,0,0,0,0,0,12
"Jackson Stewart","YES",2004-06-18,"6.00",198,"LW","Kingston Frontenacs",55,4,2,6,0.11,-9,0,0,0,0,0,67
"Trent Swick","YES",2004-04-25,"6.06",208,"LW","Kitchener Rangers",47,4,2,6,0.13,-12,0,0,0,0,0,17
"Nathan Poole","YES",2004-07-28,"6.01",200,"C","Kingston Frontenacs",55,3,3,6,0.11,-18,0,0,0,0,0,66
"Josh Vogelsberg","YES",2004-06-04,"5.11",161,"LW","Sarnia Sting",49,2,4,6,0.12,-10,0,2,2,0,0,14
"Kaleb Smith","YES",2004-05-14,"6.00",188,"C","Erie Otters",58,1,5,6,0.1,-20,0,0,0,0,0,8
"Jackson Edward","YES",2004-02-27,"6.03",191,"D","London Knights",54,0,6,6,0.11,-9,0,2,2,0,0,51
"Avval Baisov","YES",2004-04-26,"6.00",187,"LW","Windsor Spitfires",29,2,3,5,0.17,5,0,0,0,0,0,16
"Charlie Fink","YES",2004-03-04,"6.02",200,"RW","Saginaw Spirit",44,2,3,5,0.11,-12,0,0,0,1,0,28
"Alexander Lukin","YES",2004-03-27,"6.02",215,"D","North Bay Battalion",59,1,4,5,0.08,-1,0,0,0,0,0,51
"Landen Hookey","YES",2004-01-29,"6.05",222,"RW","Soo Greyhounds",43,1,4,5,0.12,-2,0,0,0,0,0,25
"Cedricson Okitundu","YES",2004-01-03,"6.00",203,"D","Owen Sound Attack",43,0,5,5,0.12,-6,0,0,0,0,0,36
"Jaden Reyers","YES",2004-06-01,"6.03",203,"C","Peterborough Petes",24,0,5,5,0.21,-4,0,0,0,0,0,2
"Madden Steen","YES",2004-05-18,"6.02",214,"D","Owen Sound Attack",40,0,5,5,0.13,0,0,0,0,0,0,21
"Gage Heyes","YES",2004-04-21,"6.00",172,"RW","Kingston Frontenacs",44,2,2,4,0.09,-11,0,1,1,1,0,28
"Ryan Gagner","YES",2004-04-08,"5.09",154,"C","Peterborough Petes",53,2,2,4,0.08,-11,0,0,0,0,0,13
"Andrew Whitton","NO",2003-10-25,"6.04",199,"RW","Oshawa Generals",33,1,3,4,0.12,0,0,0,0,0,0,7
"Ryan Pryce","YES",2004-02-06,"6.02",197,"D","Sarnia Sting",43,0,4,4,0.09,-4,0,0,0,0,0,49
"Sami Douglas-Najem","YES",2004-01-21,"6.02",205,"D","Niagara IceDogs",20,0,3,3,0.15,-2,0,0,0,0,0,8
"Wylie Birkett","YES",2004-03-05,"6.06",195,"LW","Windsor Spitfires",16,0,3,3,0.19,2,0,0,0,0,0,10
"Zach Wigle","YES",2004-01-12,"6.00",193,"C","Barrie Colts",10,2,0,2,0.2,-3,0,0,0,0,0,4
"Austin Harper","YES",2004-02-04,"5.07",159,"RW","Sarnia Sting",17,1,1,2,0.12,-5,0,0,0,0,0,2
"Leo Hafenrichter","YES",2004-07-29,"6.01",175,"D","Guelph Storm",12,0,2,2,0.17,-3,0,1,1,0,0,9
"Michael MacLean","YES",2004-08-05,"6.05",192,"D","Flint Firebirds",23,0,2,2,0.09,-7,0,0,0,0,0,14
"Noah Van Vliet","YES",2004-02-18,"6.02",222,"D","Hamilton Bulldogs",11,0,2,2,0.18,2,0,0,0,0,0,0
"Owen MacDonald","YES",2004-08-28,"6.01",188,"D","Sarnia Sting",25,0,2,2,0.08,0,0,0,0,0,0,6
"Abakar Kazbekov","YES",2004-05-30,"6.01",177,"C","London Knights",9,1,0,1,0.11,-3,0,0,0,1,0,2
"Nick Yearwood","YES",2004-07-15,"6.00",190,"LW","London Knights",6,0,1,1,0.17,-2,0,0,0,0,0,4
"Gavin Grundner","YES",2004-05-12,"6.00",179,"LW","Guelph Storm",3,0,0,0,0,1,0,0,0,0,0,0
"Hayden Simpson","YES",2004-03-11,"5.08",163,"C","Sudbury Wolves",6,0,0,0,0,0,0,0,0,0,0,2
"Joshua Hoover","YES",2004-02-15,"6.00",199,"D","Sudbury Wolves",22,0,0,0,0,-8,0,0,0,0,0,21
"Quinn Binnie","YES",2004-04-29,"6.00",198,"RW","Mississauga Steelheads",13,0,0,0,0,1,0,0,0,0,0,4
"Rodion Tatarenko","YES",2004-06-23,"6.02",184,"LW","North Bay Battalion",8,0,0,0,0,-6,0,0,0,0,0,0
"Ryan O'Dell","NO",2004-02-14,"6.06",197,"D","Oshawa Generals",4,0,0,0,0,0,0,0,0,0,0,0
"Stevie Leskovar","YES",2004-09-09,"6.03",216,"D","Peterborough Petes",12,0,0,0,0,-3,0,0,0,0,0,6
"Ty Moffatt","NO",2004-05-13,"6.00",180,"C","Sarnia Sting",2,0,0,0,0,0,0,0,0,0,0,0
