"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Ryan Ellis","NO",1991-01-03,"5.10",179,"D","Windsor Spitfires",20,8,23,31,1.55,16,5,14,19,1,0,20
"Matt Duchene","NO",1991-01-16,"6.00",196,"C","Brampton Battalion",21,14,12,26,1.24,1,6,5,11,6,0,21
"John Tavares","NO",1990-09-20,"6.00",198,"C","London Knights",14,10,11,21,1.5,-2,6,6,12,0,1,8
"Nazem Kadri","NO",1990-10-06,"6.00",177,"C","London Knights",14,9,12,21,1.5,6,4,3,7,2,0,22
"Phil Varone","NO",1990-12-04,"5.10",180,"C","London Knights",14,10,9,19,1.36,17,3,1,4,3,0,19
"Daniel Erlich","NO",1991-03-13,"5.06",170,"RW","London Knights",14,2,11,13,0.93,4,1,2,3,0,0,4
"Andrew Agozzino","NO",1991-01-03,"5.10",187,"LW","Niagara IceDogs",12,6,5,11,0.92,-5,1,4,5,1,1,24
"Mathew Sisca","NO",1990-10-30,"5.09",183,"C","Niagara IceDogs",12,7,3,10,0.83,-1,1,1,2,0,0,14
"Alex Friesen","NO",1991-01-30,"5.10",186,"C","Niagara IceDogs",12,3,7,10,0.83,-2,2,3,5,0,0,25
"Casey Cizikas","NO",1991-02-27,"6.00",185,"C","Mississauga St. Michael's Majors",11,5,4,9,0.82,1,0,1,1,1,0,11
"Chris DeSousa","NO",1990-10-19,"5.09",196,"LW","Niagara IceDogs",12,3,6,9,0.75,-1,1,0,1,1,1,23
"Jordan Mayer","NO",1991-08-24,"5.10",184,"C","Mississauga St. Michael's Majors",11,4,3,7,0.64,-2,2,2,4,1,0,0
"Alex Hutchings","NO",1990-11-07,"5.10",179,"C","Barrie Colts",5,3,4,7,1.4,0,0,2,2,0,0,6
"Matthew Tipoff","NO",1990-10-04,"6.00",186,"LW","Belleville Bulls",17,2,4,6,0.35,-6,1,1,2,1,0,10
"Jordan Szwarz","NO",1991-05-14,"6.00",189,"RW","Saginaw Spirit",8,1,5,6,0.75,0,0,3,3,0,0,10
"Luke Judson","YES",1991-02-14,"6.01",202,"RW","Belleville Bulls",17,0,6,6,0.35,-4,0,1,1,0,0,20
