"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Seth Badry","6'0",182,"Victoria Royals",2009-10-29,1,10,10,1,30.48,0,0,0,0,0,0,0,0,0,0,0
"Landon Miller","6.05",202,"Soo Greyhounds",2006-01-03,2,45,46,0.978,30.84,1,0.67,1,1,0,0,0,0,0,0,0
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,1,22,23,0.957,23,1,1,0,1,0,0,0,0,0,0,0
"Vladimir Proskurin","6'1",171,"Victoria Royals",2008-05-28,1,25,26,0.962,26,1,1,0,1,0,0,0,0,0,0,0
"Chase Petrova","6.00",172,"Brantford Bulldogs",2008-11-12,2,21,22,0.955,22.77,1,1.03,0,0,0,0,0,0,0,0,2
"Owen Nelson","6.02",160,"Peterborough Petes",2007-04-05,3,23,25,0.92,16.73,2,1.34,0,2,0,0,0,1,1,0,2
"Matthew Minchak","6.05",200,"Kingston Frontenacs",2007-05-23,1,13,14,0.929,21,1,1.5,0,0,0,0,0,0,0,0,0
"David Vermirovsky","6.03",198,"Soo Greyhounds",2008-07-25,3,50,53,0.943,27.03,3,1.53,0,1,1,0,1,0,0,0,0
"Michael Newlove","6.02",187,"Windsor Spitfires",2007-01-14,4,78,84,0.929,27.84,6,1.99,0,2,0,0,0,0,0,0,0
"Charlie Weiss","6.02",170,"London Knights",2009-07-21,3,32,35,0.914,24.94,3,2.14,0,0,2,0,2,0,0,0,0
"Alexandre Raymond","6.04",208,"Rouyn-Noranda Huskies",2007-11-13,1,3,4,0.75,8.82,1,2.2,0,0,1,0,1,0,0,0,0
"Mason Hriczov","6.02",190,"Kitchener Rangers",2009-03-14,3,68,74,0.919,29.75,6,2.41,0,2,0,0,0,0,0,0,2
"Louis-Antoine Denault","6.08",216,"Newfoundland Regiment",2006-09-26,2,34,39,0.872,19.5,5,2.5,0,1,1,0,1,0,0,0,0
"William Camputaro","6.06",209,"Soo Greyhounds",2008-05-23,3,38,42,0.905,27.36,4,2.61,0,2,0,0,0,0,0,0,0
"Bjorn Bronas","6.01",188,"Sudbury Wolves",2007-02-25,3,51,57,0.895,24.8,6,2.61,0,1,2,0,2,0,0,0,0
"Luka Gelinas","6.01",179,"Peterborough Petes",2008-01-01,3,36,40,0.9,26.28,4,2.63,0,2,0,0,0,1,1,0,2
"Owen Leonard","6.01",185,"Sudbury Wolves",2009-05-19,4,42,46,0.913,30.72,4,2.67,0,0,1,0,1,0,0,0,0
"Hagan Bach","6.01",191,"Barrie Colts",2009-04-17,4,126,137,0.92,34.35,11,2.76,0,2,2,0,2,1,1,0,0
"Zach Jovanovski","6.02",194,"Guelph Storm",2007-10-07,2,42,46,0.913,32.5,4,2.83,0,1,0,0,0,0,0,0,0
"Kale Osipenko","6.01",165,"Sarnia Sting",2008-10-07,3,65,72,0.903,29.14,7,2.83,0,2,1,0,1,0,0,0,0
"Vladislav Yermolenko","6.01",176,"Niagara IceDogs",2007-12-16,4,102,112,0.911,32.24,10,2.88,0,1,1,0,1,2,1,1,0
"Maksim Corovic","6.03",196,"Owen Sound Attack",2008-05-20,3,51,57,0.895,28.27,6,2.98,0,1,1,0,1,0,0,0,0
"Matthew Koprowski","6.03",212,"Owen Sound Attack",2007-02-05,3,64,73,0.877,24.38,9,3.01,0,1,0,0,0,2,0,2,0
"Jaeden Nelson","6.01",195,"Ottawa 67's",2007-04-11,2,45,50,0.9,30.13,5,3.01,0,1,1,0,1,0,0,0,0
"Mason Courville","6.01",185,"Flint Firebirds",2009-10-27,1,25,28,0.893,28.34,3,3.04,0,0,1,0,1,0,0,0,0
"Jake Windbiel","6.04",205,"Windsor Spitfires",2008-02-11,2,29,32,0.906,32.76,3,3.07,0,1,1,0,1,0,0,0,0
"Brian Rathwell","6.05",215,"Saginaw Spirit",2009-03-09,1,10,11,0.909,35.48,1,3.23,0,0,0,0,0,0,0,0,0
"Paolo Frasca","5.10",218,"Sudbury Wolves",2006-09-03,3,58,65,0.892,30.2,7,3.25,0,2,0,0,0,0,0,0,0
"Liam Karbowski","6.02",166,"Erie Otters",2009-11-02,2,55,60,0.917,39.99,5,3.33,0,1,0,0,0,0,0,0,0
"Neilan Johnson","6.02",185,"Brampton Steelheads",2008-08-01,3,63,73,0.863,24.6,10,3.37,0,1,2,0,2,1,1,0,2
"Jason Schaubel","6.00",165,"Kitchener Rangers",2008-08-30,3,50,59,0.847,23.67,9,3.61,0,2,1,0,1,0,0,0,0
"Aleksei Medvedev","6.03",195,"London Knights",2007-09-10,3,45,50,0.9,36.26,5,3.63,0,1,1,0,1,0,0,0,0
"Ben Hrebik","6.03",210,"Guelph Storm",2006-04-04,2,47,53,0.887,33.45,6,3.79,0,2,0,0,0,0,0,0,0
"Jaden Cholette","6.03",184,"Oshawa Generals",2006-01-30,4,43,50,0.86,27.12,7,3.8,0,0,0,0,0,0,0,0,0
"Mason Raycroft","6.00",153,"Kingston Frontenacs",2009-06-30,2,21,24,0.875,30.93,3,3.87,0,1,0,0,0,0,0,0,0
"Zachary Lainesse","",NA,"Rouyn-Noranda Huskies",NA,1,16,18,0.889,34.99,2,3.89,0,0,0,0,0,0,0,0,0
"David Egorov","6.02",195,"Erie Otters",2006-05-18,2,43,51,0.843,25.5,8,4,0,2,0,0,0,1,1,0,0
"J.D. Low","6.03",170,"Sarnia Sting",2007-09-01,1,21,25,0.84,25,4,4,0,0,0,0,0,1,0,1,0
"Oskari Ahmajarvi","6.00",181,"Brampton Steelheads",2008-07-25,2,36,44,0.818,22.29,8,4.05,0,0,1,0,1,1,0,1,0
"Ivan Tkach-Tkachenko","6.03",185,"Sarnia Sting",2007-05-30,2,36,42,0.857,28.5,6,4.07,0,0,1,0,1,0,0,0,0
"Masen Johnston","6.01",190,"Peterborough Petes",2007-02-08,2,33,37,0.892,38.66,4,4.18,0,0,0,0,0,0,0,0,0
"Landyn Quirk","6.02",187,"Guelph Storm",2009-12-30,2,28,32,0.875,33.61,4,4.2,0,0,1,0,1,0,0,0,0
"Cruz Reznik","6.03",196,"Oshawa Generals",2009-03-15,3,46,55,0.836,25.7,9,4.21,0,2,0,0,0,1,0,1,0
"Vilmer Salen Forsberg","6.06",220,"Brantford Bulldogs",2009-08-21,4,72,85,0.847,28.72,13,4.39,0,3,1,0,1,0,0,0,0
