"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Tyler Hinde",2009-06-23,"C","Oshawa Generals",6,2,7,9,1.5,3,1,3,0,0,2
"Lucas Matheson",2010-02-24,"D","Barrie Colts",4,5,2,7,1.75,1,1,1,1,0,2
"Dmitry Savin",2009-04-14,"C","Saginaw Spirit",3,3,3,6,2,-1,1,2,0,0,0
"Kane Barch",2009-03-13,"C","London Knights",4,3,3,6,1.5,1,0,2,1,0,4
"Aiden Kelly",2010-02-02,"C","Brantford Bulldogs",5,2,4,6,1.2,1,1,1,0,0,7
"Braydon Sisco",2009-01-15,"RW","Sarnia Sting",4,1,5,6,1.5,4,0,1,0,0,0
"Landon Roulston",2010-03-05,"C","Peterborough Petes",4,4,1,5,1.25,0,2,0,0,0,6
"Alexander Lisi",2009-07-03,"LW","Owen Sound Attack",6,3,2,5,0.83,-1,1,1,0,0,2
"Adam Nemec",2009-07-28,"LW","Brantford Bulldogs",5,2,3,5,1,0,0,0,0,0,2
"Bogdan Yakushevsky",2009-01-16,"RW","Windsor Spitfires",4,2,3,5,1.25,3,1,0,0,0,0
"Luca Santala",2009-07-28,"C","London Knights",5,2,3,5,1,-5,2,2,0,0,0
"Colin Kennedy",2010-03-10,"C","Erie Otters",5,3,1,4,0.8,2,1,0,1,0,9
"Myles Dunn",2009-06-18,"RW","Sarnia Sting",4,3,1,4,1,3,0,0,0,1,0
"Parker Smith",2009-04-17,"LW","Sudbury Wolves",6,3,1,4,0.67,-1,0,0,0,0,0
"Kane Cloutier",2010-06-14,"LW","Oshawa Generals",6,2,2,4,0.67,-3,2,0,0,0,0
"Max Fransen",2010-03-29,"D","Owen Sound Attack",5,2,2,4,0.8,-3,0,1,0,0,0
"Trevor Daley Jr",2009-07-11,"LW","Soo Greyhounds",5,2,2,4,0.8,-1,0,2,0,0,0
"Alex Forrest",2009-06-11,"LD","Kitchener Rangers",3,1,3,4,1.33,1,0,2,0,0,4
"Alex Taylor",2009-01-14,"RW","Owen Sound Attack",6,1,3,4,0.67,-3,1,1,0,0,0
"Jaakko Wycisk",2009-03-16,"C","Guelph Storm",2,1,3,4,2,1,0,0,0,0,0
"Jace Voortman",2010-08-12,"LW","Owen Sound Attack",6,1,3,4,0.67,1,0,2,0,0,4
"Paul Schuster",2009-07-26,"RW","Erie Otters",3,1,3,4,1.33,1,0,2,0,0,0
"Stepan Stejskal",2009-01-06,"LW","Niagara IceDogs",5,1,3,4,0.8,-2,0,1,0,0,2
"Colton Colby",2009-01-18,"RW","Sudbury Wolves",5,0,4,4,0.8,0,0,2,0,0,0
"Will Mullins",2009-05-14,"RW","Niagara IceDogs",6,0,4,4,0.67,3,0,0,0,0,2
"Bo Christini",2010-06-02,"RW","Brantford Bulldogs",3,2,1,3,1,3,1,0,1,0,0
"Gordei Khotkov",2010-03-30,"D","Saginaw Spirit",5,2,1,3,0.6,1,0,0,0,0,2
"Roman Andreev",2010-07-10,"RW","Kitchener Rangers",4,2,1,3,0.75,0,0,0,1,0,2
"Adrian Sgro",2010-03-15,"D","Sarnia Sting",5,1,2,3,0.6,4,1,0,0,0,9
"Cole Mazzoni",2009-05-12,"LW","Oshawa Generals",3,1,2,3,1,1,0,2,0,0,0
"Declan McNally",2010-09-28,"D","Barrie Colts",5,1,2,3,0.6,0,0,0,0,0,7
"Drew Bate",2010-05-19,"C","Saginaw Spirit",7,1,2,3,0.43,0,0,0,0,0,8
"Ian Inskip",2009-02-05,"LW","Windsor Spitfires",4,0,3,3,0.75,3,0,0,0,0,0
"Jake Ritson",2009-02-12,"LW","London Knights",4,2,0,2,0.5,-2,1,0,0,0,0
"Kingston Harris",2009-02-15,"C","Sudbury Wolves",5,2,0,2,0.4,-4,1,0,0,0,2
"A.J. Gladman",2009-01-19,"D","Erie Otters",5,1,1,2,0.4,-1,0,0,0,0,2
"Colton Cribari",2010-04-10,"D","Erie Otters",3,1,1,2,0.67,-1,1,0,0,0,0
"Eloan Le Gallic",2009-02-06,"C","London Knights",4,1,1,2,0.5,-3,0,1,0,0,4
"Jiří Gombár",2009-10-15,"LD","Kitchener Rangers",5,1,1,2,0.4,1,0,1,0,0,0
"Lincoln Edwards",2009-09-12,"LW","North Bay Battalion",4,1,1,2,0.5,1,0,0,0,0,4
"Miras Zhumabay",2010-06-10,"LW","Niagara IceDogs",5,1,1,2,0.4,-1,0,0,0,0,2
"Rocco Olek",2009-07-07,"RW","Barrie Colts",4,1,1,2,0.5,-3,0,0,0,0,2
"Sarvir Jaworski",2009-02-24,"LW","Sarnia Sting",5,1,1,2,0.4,-1,0,0,0,0,0
"Ty Bergeron",2009-05-26,"C","Windsor Spitfires",4,1,1,2,0.5,3,0,0,0,0,2
"Alex Milojevic",2009-09-05,"C","Saginaw Spirit",7,0,2,2,0.29,0,0,0,0,0,2
"Christopher Mabey",2009-01-13,"D","Guelph Storm",2,0,2,2,1,1,0,0,0,0,0
"Elias Matousek",2009-06-05,"RW","Barrie Colts",5,0,2,2,0.4,1,0,0,0,0,2
"Finley Butler",2010-03-22,"RW","Guelph Storm",4,0,2,2,0.5,2,0,0,0,0,2
"Hannu Packalen",2010-02-15,"C","Ottawa 67's",2,0,2,2,1,4,0,0,0,0,0
"Jacob Lukes",2009-05-22,"C","Kitchener Rangers",4,0,2,2,0.5,0,0,0,0,0,0
