"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Cole Zurawski","NO",2008-02-06,"6.01",190,"RW","Owen Sound Attack",6,4,11,15,2.5,6,1,4,5,0,1,7
"Logan Hawery","NO",2008-03-15,"5.10",170,"C","Sarnia Sting",4,3,6,9,2.25,6,1,1,2,0,0,2
"Xavier Lieb","NO",2008-03-14,"5.09",165,"C","Brantford Bulldogs",4,3,4,7,1.75,3,0,0,0,0,1,0
"Chase Gaughan","NO",2008-07-17,"6.03",190,"RW","Sarnia Sting",5,2,4,6,1.2,4,0,0,0,0,0,4
"Cole Emerton","NO",2008-03-04,"5.11",185,"D","Sarnia Sting",4,1,5,6,1.5,3,0,2,2,0,0,0
"Weston Cameron","NO",2008-01-01,"6.04",188,"LW","Kitchener Rangers",4,1,5,6,1.5,4,1,2,3,0,0,2
"Matthew Manza","NO",2007-09-22,"6.00",178,"RW","Sarnia Sting",4,5,0,5,1.25,2,2,0,2,0,0,8
"Brooks Rogowski","NO",2008-06-24,"6.07",238,"C","Oshawa Generals",4,3,2,5,1.25,-2,0,1,1,0,0,0
"Jaxon Cover","NO",2008-02-13,"6.02",185,"LW","London Knights",3,3,2,5,1.67,1,1,0,1,1,0,11
"Louis-Francois Belanger","NO",2007-11-14,"5.08",172,"C","Newfoundland Regiment",3,3,2,5,1.67,3,1,1,2,1,0,0
"Ryder Carey","NO",2008-08-02,"6.01",199,"RW","North Bay Battalion",4,3,2,5,1.25,3,1,0,1,0,1,0
"Avry Anstis","NO",2008-03-05,"6.00",165,"RW","Kitchener Rangers",4,3,1,4,1,5,0,0,0,0,1,7
"Troy Patton","NO",2008-06-12,"5.10",178,"C","Brampton Steelheads",4,3,1,4,1,0,2,1,3,0,0,6
"Carter Stevens","NO",2008-01-11,"6.03",195,"RW","Guelph Storm",2,2,2,4,2,5,0,0,0,0,0,2
"Charlie Puglisi","NO",2008-04-16,"5.10",164,"C","Kitchener Rangers",4,2,2,4,1,1,0,1,1,1,0,2
"Alex McLean","NO",2008-08-08,"5.10",185,"LW","Kingston Frontenacs",2,1,3,4,2,3,0,0,0,0,0,0
"Camden McCuaig","NO",2008-06-19,"6.02",195,"LW","Brantford Bulldogs",5,1,3,4,0.8,3,0,1,1,0,0,2
"Nathan Amidovski","NO",2008-04-06,"6.02",184,"LW","Brampton Steelheads",4,1,3,4,1,0,0,0,0,0,0,9
"Pacey Adduono","NO",2008-09-01,"5.11",185,"C","Peterborough Petes",3,1,3,4,1.33,3,0,1,1,0,0,0
"Ulysses Lombardi","NO",2008-07-02,"6.01",183,"C","Erie Otters",4,1,3,4,1,-1,1,0,1,0,0,2
"Brady Murnane","NO",2008-04-23,"6.03",198,"LD","Oshawa Generals",6,0,4,4,0.67,4,0,0,0,0,0,4
"Aiden Atkinson","NO",2008-01-31,"5.10",162,"C","Guelph Storm",3,3,0,3,1,-1,1,0,1,0,0,0
"Jean-Cristoph Lemieux","NO",2008-06-19,"6.00",197,"RW","Sudbury Wolves",2,3,0,3,1.5,2,1,0,1,1,0,0
"Andrew Robinson","NO",2008-01-08,"6.00",200,"D","Windsor Spitfires",2,2,1,3,1.5,3,0,1,1,0,0,0
"Blake Clayton","NO",2007-10-23,"6.01",175,"C","Sudbury Wolves",2,2,1,3,1.5,2,0,0,0,0,1,0
"Colin Fitzgerald","NO",2008-04-01,"6.02",196,"C","Soo Greyhounds",2,2,1,3,1.5,2,0,0,0,1,0,0
"Joey Banas","NO",2008-03-31,"5.08",170,"RW","Brantford Bulldogs",4,2,1,3,0.75,2,0,0,0,0,0,0
"Pierce Mbuyi","NO",2008-04-17,"5.11",168,"LW","Owen Sound Attack",2,2,1,3,1.5,6,0,0,0,1,0,4
"Ryan Roobroeck","NO",2007-09-25,"6.03",218,"LW","Guelph Storm",2,2,1,3,1.5,-1,2,1,3,0,0,2
"Spencer Bowes","NO",2007-09-19,"6.00",177,"LW","Ottawa 67's",2,2,1,3,1.5,3,0,0,0,1,0,2
"Alexander Hage","NO",2008-02-05,"5.08",151,"RW","Niagara IceDogs",5,1,2,3,0.6,-1,1,0,1,0,0,2
"Beksultan Makysh","NO",2008-05-24,"5.09",170,"LW","Windsor Spitfires",4,1,2,3,0.75,3,0,0,0,0,0,2
"Brennan Huyck","NO",2008-04-30,"6.05",197,"RW","Oshawa Generals",4,1,2,3,0.75,-3,0,1,1,0,0,0
"Ethan Garden","NO",2008-04-13,"5.08",178,"C","Windsor Spitfires",4,1,2,3,0.75,5,0,1,1,1,0,0
"Evan Headrick","NO",2008-01-08,"5.08",171,"RW","Erie Otters",4,1,2,3,0.75,0,0,1,1,0,0,0
