"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Cole Zurawski","NO",44,2008-02-06,2008,"6.01",190,"RW","Owen Sound Attack",6,4,11,15,2.5,6,1,4,5,0,0,0,0,1,7,1
"Jason Musa","NO",10,2007-05-09,2007,"5.08",157,"LW","Brantford Bulldogs",4,5,6,11,2.75,8,1,1,2,0,0,0,2,0,0,1
"Logan Hawery","NO",26,2008-03-15,2008,"5.10",170,"C","Sarnia Sting",4,3,6,9,2.25,6,1,1,2,0,0,0,0,0,2,1
"Tyler Hinde","YES",21,2009-06-23,2009,"6.03",173,"C","Oshawa Generals",6,2,7,9,1.5,3,1,3,4,1,0,1,0,0,2,1
"Ryan Hanrahan","NO",88,2009-11-10,2009,"6.03",190,"C","Saginaw Spirit",7,6,2,8,1.14,-2,1,2,3,0,0,0,1,0,10,1
"Dima Zhilkin","NO",71,2008-10-21,2008,"5.11",195,"LW","Saginaw Spirit",4,2,6,8,2,-4,1,2,3,1,0,1,0,0,6,1
"Lucas Matheson","YES",22,2010-02-24,2010,"5.10",165,"D","Barrie Colts",4,5,2,7,1.75,1,1,1,2,0,0,0,1,0,2,1
"Tanner Lam","NO",37,2007-07-14,2007,"5.10",160,"RW","Kitchener Rangers",3,4,3,7,2.33,-2,2,0,2,0,1,1,1,0,0,1
"Xavier Lieb","NO",17,2008-03-14,2008,"5.09",165,"C","Brantford Bulldogs",4,3,4,7,1.75,3,0,0,0,0,0,0,0,1,0,1
"Kieran Witkowski","NO",13,2007-02-07,2007,"5.11",176,"LW","Brampton Steelheads",4,1,6,7,1.75,1,0,4,4,0,0,0,0,0,0,1
"Tyler Hopkins","NO",91,2007-01-23,2007,"6.01",197,"C","Guelph Storm",2,0,7,7,3.5,4,0,3,3,0,0,0,0,0,4,1
"Sebastian Mogull","NO",8,2008-12-12,2008,"6.01",185,"RW","Barrie Colts",5,4,2,6,1.2,5,0,0,0,0,0,0,0,0,0,1
"Max Delisle","NO",10,2009-07-06,2009,"6.01",184,"C","Owen Sound Attack",6,4,2,6,1,4,3,0,3,0,0,0,1,0,6,1
"Dmitry Savin","YES",10,2009-04-14,2009,"6.03",190,"C","Saginaw Spirit",3,3,3,6,2,-1,1,2,3,0,0,0,0,0,0,1
"Kane Barch","YES",10,2009-03-13,2009,"6.00",192,"C","London Knights",4,3,3,6,1.5,1,0,2,2,1,0,1,1,0,4,1
"Levi Harper","NO",4,2008-10-03,2008,"6.00",185,"D","Saginaw Spirit",4,2,4,6,1.5,-2,0,1,1,0,0,0,0,0,2,1
"Chase Gaughan","NO",71,2008-07-17,2008,"6.03",190,"RW","Sarnia Sting",5,2,4,6,1.2,4,0,0,0,1,0,1,0,0,4,1
"Aiden Kelly","YES",66,2010-02-02,2010,"6.00",181,"C","Brantford Bulldogs",5,2,4,6,1.2,1,1,1,2,0,0,0,0,0,7,1
"David Buchman","NO",71,2009-07-01,2009,"5.11",182,"D","Brantford Bulldogs",4,1,5,6,1.5,5,0,1,1,0,0,0,0,0,2,1
"Weston Cameron","NO",17,2008-01-01,2008,"6.04",188,"LW","Kitchener Rangers",4,1,5,6,1.5,4,1,2,3,0,0,0,0,0,2,1
"Cole Emerton","NO",41,2008-03-04,2008,"5.11",185,"D","Sarnia Sting",4,1,5,6,1.5,3,0,2,2,0,0,0,0,0,0,1
"Braydon Sisco","YES",88,2009-01-15,2009,"5.09",160,"RW","Sarnia Sting",4,1,5,6,1.5,4,0,1,1,0,0,0,0,0,0,1
"Matthew Manza","NO",55,2007-09-22,2007,"6.00",178,"RW","Sarnia Sting",4,5,0,5,1.25,2,2,0,2,0,0,0,0,0,8,1
"Landon Roulston","YES",35,2010-03-05,2010,"6.01",188,"C","Peterborough Petes",4,4,1,5,1.25,0,2,0,2,0,0,0,0,0,6,1
"Caden Taylor","NO",19,2007-03-31,2007,"6.03",189,"RW","Oshawa Generals",5,4,1,5,1,-1,1,1,2,0,0,0,1,0,2,1
"Ethan Czata","NO",22,2007-05-29,2007,"6.02",186,"C","Guelph Storm",2,3,2,5,2.5,5,0,1,1,0,0,0,1,0,2,1
"Louis-Francois Belanger","NO",18,2007-11-14,2007,"5.08",172,"C","Newfoundland Regiment",3,3,2,5,1.67,3,1,1,2,0,0,0,1,0,0,1
"Jaxon Cover","NO",87,2008-02-13,2008,"6.02",185,"LW","London Knights",3,3,2,5,1.67,1,1,0,1,0,0,0,1,0,11,1
"Jack Van Volsen","NO",14,2006-01-12,2006,"6.02",190,"C","Sarnia Sting",3,3,2,5,1.67,6,0,0,0,0,0,0,1,0,2,1
"Ryder Carey","NO",11,2008-08-02,2008,"6.01",199,"RW","North Bay Battalion",4,3,2,5,1.25,3,1,0,1,0,0,0,0,1,0,1
"Onni Kalto","NO",78,2006-12-14,2006,"6.02",191,"LW","Oshawa Generals",4,3,2,5,1.25,2,1,0,1,0,0,0,0,0,0,1
"Brooks Rogowski","NO",10,2008-06-24,2008,"6.07",238,"C","Oshawa Generals",4,3,2,5,1.25,-2,0,1,1,1,0,1,0,0,0,1
"Alexander Lisi","YES",88,2009-07-03,2009,"6.00",190,"LW","Owen Sound Attack",6,3,2,5,0.83,-1,1,1,2,1,0,1,0,0,2,1
"Luca Romano","NO",86,2007-06-25,2007,"5.11",170,"C","Kitchener Rangers",2,2,3,5,2.5,-2,1,2,3,1,0,1,0,0,0,1
"Liam Arsenault","NO",13,2008-11-26,2008,"5.09",172,"LW","Newfoundland Regiment",3,2,3,5,1.67,3,1,1,2,1,0,1,0,0,6,1
"Arseny Pronin","NO",20,2007-05-16,2007,"6.02",198,"LW","North Bay Battalion",4,2,3,5,1.25,1,0,2,2,0,0,0,0,0,0,1
"Bogdan Yakushevsky","YES",87,2009-01-16,2009,"6.00",182,"RW","Windsor Spitfires",4,2,3,5,1.25,3,1,0,1,0,0,0,0,0,0,1
"Adam Nemec","YES",23,2009-07-28,2009,"6.01",175,"LW","Brantford Bulldogs",5,2,3,5,1,0,0,0,0,0,0,0,0,0,2,1
"Luca Santala","YES",21,2009-07-28,2009,"6.03",195,"C","London Knights",5,2,3,5,1,-5,2,2,4,0,0,0,0,0,0,1
"Gensen Geldart","NO",95,2009-05-05,2009,"6.02",180,"C","Saginaw Spirit",7,1,4,5,0.71,-3,1,1,2,0,1,1,0,0,0,1
"Alexis Michaud","NO",95,2006-01-26,2006,"",NA,"RW","Newfoundland Regiment",2,0,5,5,2.5,1,0,2,2,0,1,1,0,0,2,1
"Lucas Prud'homme","NO",7,2007-04-10,2007,"6.02",206,"LW","Owen Sound Attack",5,0,5,5,1,-3,0,2,2,0,0,0,0,0,11,1
"Evan Van Gorp","NO",14,2006-05-18,2006,"5.11",180,"LW","London Knights",5,0,5,5,1,-1,0,1,1,0,0,0,0,0,2,1
"Cameron Schmidt","NO",88,2007-01-19,2007,"5'8",160,"RW","Victoria Royals",1,3,1,4,4,2,2,0,2,0,1,1,1,0,2,1
"Haeden Ellis","NO",13,2007-03-07,2007,"5.10",161,"C","Kitchener Rangers",3,3,1,4,1.33,1,2,1,3,0,0,0,1,0,2,1
"Thomas Zocco","NO",11,2006-06-15,2006,"5.11",185,"C","London Knights",3,3,1,4,1.33,1,0,1,1,0,0,0,0,0,2,1
"Avry Anstis","NO",9,2008-03-05,2008,"6.00",165,"RW","Kitchener Rangers",4,3,1,4,1,5,0,0,0,0,0,0,0,1,7,1
"Myles Dunn","YES",23,2009-06-18,2009,"5.10",170,"RW","Sarnia Sting",4,3,1,4,1,3,0,0,0,0,0,0,0,1,0,1
"Troy Patton","NO",77,2008-06-12,2008,"5.10",178,"C","Brampton Steelheads",4,3,1,4,1,0,2,1,3,0,0,0,0,0,6,1
"Colin Kennedy","YES",27,2010-03-10,2010,"5.09",171,"C","Erie Otters",5,3,1,4,0.8,2,1,0,1,0,0,0,1,0,9,1
"Parker Smith","YES",96,2009-04-17,2009,"5.09",175,"LW","Sudbury Wolves",6,3,1,4,0.67,-1,0,0,0,1,0,1,0,0,0,1
"Carter Stevens","NO",96,2008-01-11,2008,"6.03",195,"RW","Guelph Storm",2,2,2,4,2,5,0,0,0,0,0,0,0,0,2,1
"Landon Wright","NO",36,2006-01-17,2006,"5.11",190,"RW","Kingston Frontenacs",2,2,2,4,2,1,1,0,1,0,0,0,0,0,0,1
"Anthony Cristoforo","NO",44,2006-02-23,2006,"5.11",195,"D","Windsor Spitfires",3,2,2,4,1.33,1,0,0,0,0,0,0,0,0,0,1
"Jacob Cloutier","NO",42,2007-03-22,2007,"5.11",180,"RW","Saginaw Spirit",4,2,2,4,1,-2,2,1,3,0,0,0,0,0,6,1
"Jeremy Freeman","NO",8,2009-07-07,2009,"5.09",178,"LW","Brantford Bulldogs",4,2,2,4,1,2,1,1,2,0,0,0,0,0,4,1
"Charlie Puglisi","NO",98,2008-04-16,2008,"5.10",164,"C","Kitchener Rangers",4,2,2,4,1,1,0,1,1,0,0,0,1,0,2,1
"Trevor Daley Jr","YES",83,2009-07-11,2009,"5.10",182,"LW","Soo Greyhounds",5,2,2,4,0.8,-1,0,2,2,0,0,0,0,0,0,1
"Sebastian Dell'Elce","NO",25,2007-03-09,2007,"6.01",185,"LD","Niagara IceDogs",5,2,2,4,0.8,-1,0,0,0,0,0,0,0,0,2,1
"Max Fransen","YES",43,2010-03-29,2010,"5.11",187,"D","Owen Sound Attack",5,2,2,4,0.8,-3,0,1,1,0,0,0,0,0,0,1
"Brayden Bennett","NO",9,2009-02-05,2009,"6.00",193,"C","Sudbury Wolves",6,2,2,4,0.67,-1,1,0,1,0,0,0,0,0,0,1
"Kane Cloutier","YES",98,2010-06-14,2010,"6.00",160,"LW","Oshawa Generals",6,2,2,4,0.67,-3,2,0,2,0,0,0,0,0,0,1
"Alex McLean","NO",9,2008-08-08,2008,"5.10",185,"LW","Kingston Frontenacs",2,1,3,4,2,3,0,0,0,0,0,0,0,0,0,1
"Harry Nansi","NO",34,2007-09-10,2007,"6.03",201,"RW","Owen Sound Attack",2,1,3,4,2,6,0,0,0,0,0,0,0,0,0,1
"Jaakko Wycisk","YES",77,2009-03-16,2009,"6.02",206,"C","Guelph Storm",2,1,3,4,2,1,0,0,0,0,0,0,0,0,0,1
"Pacey Adduono","NO",11,2008-09-01,2008,"5.11",185,"C","Peterborough Petes",3,1,3,4,1.33,3,0,1,1,0,1,1,0,0,0,1
"Alex Forrest","YES",91,2009-06-11,2009,"5.11",157,"LD","Kitchener Rangers",3,1,3,4,1.33,1,0,2,2,0,0,0,0,0,4,1
"Maddex Marmulak","NO",98,NA,NA,"",0,"RW","Newfoundland Regiment",3,1,3,4,1.33,-1,0,2,2,0,0,0,0,0,2,1
"Paul Schuster","YES",96,2009-07-26,2009,"5.10",176,"RW","Erie Otters",3,1,3,4,1.33,1,0,2,2,0,0,0,0,0,0,1
"Nathan Amidovski","NO",29,2008-04-06,2008,"6.02",184,"LW","Brampton Steelheads",4,1,3,4,1,0,0,0,0,0,0,0,0,0,9,1
"Ulysses Lombardi","NO",89,2008-07-02,2008,"6.01",183,"C","Erie Otters",4,1,3,4,1,-1,1,0,1,0,0,0,0,0,2,1
"Hudson Martin","NO",13,2007-06-20,2007,"5.10",179,"D","Sudbury Wolves",5,1,3,4,0.8,3,0,1,1,0,0,0,0,0,2,1
"Camden McCuaig","NO",20,2008-06-19,2008,"6.02",195,"LW","Brantford Bulldogs",5,1,3,4,0.8,3,0,1,1,0,0,0,0,0,2,1
"Sam Roberts","NO",71,2009-05-21,2009,"6.01",186,"RW","Oshawa Generals",5,1,3,4,0.8,1,0,1,1,0,0,0,0,0,6,1
"Stepan Stejskal","YES",91,2009-01-06,2009,"6.00",165,"LW","Niagara IceDogs",5,1,3,4,0.8,-2,0,1,1,0,0,0,0,0,2,1
"Alex Taylor","YES",13,2009-01-14,2009,"5.08",153,"RW","Owen Sound Attack",6,1,3,4,0.67,-3,1,1,2,0,0,0,0,0,0,1
"Jace Voortman","YES",27,2010-08-12,2010,"6.01",170,"LW","Owen Sound Attack",6,1,3,4,0.67,1,0,2,2,0,0,0,0,0,4,1
"John Banks","NO",12,2007-04-16,2007,"5.09",171,"D","Owen Sound Attack",4,0,4,4,1,3,0,1,1,0,0,0,0,0,0,1
"Adrian Manzo","NO",2,2007-08-28,2007,"6.01",190,"D","North Bay Battalion",4,0,4,4,1,1,0,0,0,0,0,0,0,0,5,1
"Rene Van Bommel","NO",17,2006-05-14,2006,"5.11",181,"LW","North Bay Battalion",4,0,4,4,1,-3,0,1,1,0,0,0,0,0,12,1
"Easton Walos","NO",11,2008-12-28,2008,"5.11",192,"C","Sarnia Sting",4,0,4,4,1,4,0,2,2,0,0,0,0,0,5,1
"Colton Colby","YES",23,2009-01-18,2009,"6.01",170,"RW","Sudbury Wolves",5,0,4,4,0.8,0,0,2,2,0,0,0,0,0,0,1
"Will Mullins","YES",86,2009-05-14,2009,"6.00",179,"RW","Niagara IceDogs",6,0,4,4,0.67,3,0,0,0,0,0,0,0,0,2,1
"Brady Murnane","NO",3,2008-04-23,2008,"6.03",198,"LD","Oshawa Generals",6,0,4,4,0.67,4,0,0,0,0,0,0,0,0,4,1
"Jean-Cristoph Lemieux","NO",66,2008-06-19,2008,"6.00",197,"RW","Sudbury Wolves",2,3,0,3,1.5,2,1,0,1,0,0,0,1,0,0,1
"Aiden Atkinson","NO",21,2008-01-31,2008,"5.10",162,"C","Guelph Storm",3,3,0,3,1,-1,1,0,1,0,0,0,0,0,0,1
"Charlie Murata","NO",68,2009-02-15,2009,"6.00",190,"RW","Flint Firebirds",3,3,0,3,1,-2,3,0,3,0,0,0,0,0,2,1
"Jake Murray","NO",80,2009-02-26,2009,"6.01",195,"C","Erie Otters",4,3,0,3,0.75,-1,0,0,0,0,0,0,0,0,2,1
"Jonathan Kapageridis","NO",3,2007-05-08,2007,"6.00",182,"D","North Bay Battalion",1,2,1,3,3,1,0,1,1,0,0,0,0,0,0,1
"Spencer Bowes","NO",12,2007-09-19,2007,"6.00",177,"LW","Ottawa 67's",2,2,1,3,1.5,3,0,0,0,0,0,0,1,0,2,1
"Blake Clayton","NO",19,2007-10-23,2007,"6.01",175,"C","Sudbury Wolves",2,2,1,3,1.5,2,0,0,0,0,0,0,0,1,0,1
