"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Jakub Petruzalek",1985-04-24,"LW","Ottawa 67's",59,23,40,63,1.07,10,6,17,4,0,64
"Marek Kvapil",1985-01-05,"RW","Saginaw Spirit",53,25,37,62,1.17,-3,8,13,3,0,14
"Radek Smolenak",1986-12-03,"RW","Kingston Frontenacs",67,32,28,60,0.9,-14,11,7,5,0,58
"Lukas Kaspar",1985-09-23,"LW","Ottawa 67's",59,21,30,51,0.86,3,6,12,4,0,45
"Mike Duco",1987-07-08,"LW","Kitchener Rangers",62,24,26,50,0.81,16,8,9,3,1,78
"Michael Vernace",1986-05-26,"D","Brampton Battalion",68,12,38,50,0.74,9,6,20,2,1,42
"Matt D'Agostini",1986-10-23,"RW","Guelph Storm",59,24,22,46,0.78,0,3,8,4,2,29
"James Neal",1987-09-03,"LW","Plymouth Whalers",67,18,26,44,0.66,-5,7,8,5,0,32
"Michal Birner",1986-03-02,"RW","Saginaw Spirit",59,11,31,42,0.71,6,1,11,2,0,41
"Tyler Doig",1986-02-15,"C","Guelph Storm",66,19,22,41,0.62,-2,8,8,3,0,72
"Justin Azevedo",1988-04-01,"C","Kitchener Rangers",58,18,21,39,0.67,4,4,15,0,2,34
"Cory Emmerton",1988-06-01,"C","Kingston Frontenacs",58,17,21,38,0.66,-7,4,4,3,0,8
"Nick Foligno",1987-10-31,"C","Sudbury Wolves",65,10,28,38,0.58,5,3,11,4,0,111
"Ryan McDonough",1988-01-02,"C","Sudbury Wolves",58,15,22,37,0.64,-6,6,5,2,1,31
"Andrew Hotham",1986-08-29,"D","Erie Otters",64,9,26,35,0.55,-10,6,16,1,0,121
"Mathis Olimb",1986-02-01,"LW","Sarnia Sting",57,8,25,33,0.58,-8,2,8,0,0,16
"Michael Swift",1987-03-26,"C","Mississauga IceDogs",67,15,17,32,0.48,9,4,6,3,0,46
"John Hughes",1988-01-06,"C","Belleville Bulls",60,13,18,31,0.52,-6,3,5,2,0,10
"Chris Greene",1985-09-24,"RW","Erie Otters",68,7,24,31,0.46,-2,1,9,2,0,144
"Chris Stewart",1987-10-30,"RW","Kingston Frontenacs",64,18,12,30,0.47,-8,0,2,2,0,45
"Derek Joslin",1987-03-17,"D","Ottawa 67's",68,6,24,30,0.44,26,1,10,0,1,44
"Jordan Staal",1988-09-10,"C","Peterborough Petes",66,9,19,28,0.42,1,0,4,2,0,29
"Andrej Sekera",1986-06-08,"D","Owen Sound Attack",51,7,21,28,0.55,9,5,14,2,0,18
"Ben Shutron",1988-06-14,"D","Kingston Frontenacs",63,7,20,27,0.43,-26,3,9,1,0,28
"Jordan Owens",1986-05-01,"LW","Mississauga IceDogs",66,11,14,25,0.38,17,1,4,3,0,45
"Dustin Jeffrey",1988-02-27,"C","Mississauga IceDogs",53,10,15,25,0.47,9,3,5,0,1,20
"Scott Restoule",1987-06-13,"C","Sarnia Sting",65,5,20,25,0.38,-26,0,12,0,0,56
"Luke Lynes",1987-11-28,"LW","Brampton Battalion",68,11,13,24,0.35,7,1,0,0,0,60
"Bobby Sanguinetti",1988-02-29,"D","Owen Sound Attack",67,4,20,24,0.36,16,2,6,1,0,12
"Alexei Ivanov",1985-01-05,"C","Toronto St. Michael's Majors",54,11,12,23,0.43,2,5,5,1,0,37
"Matt Beleskey",1988-06-07,"LW","Belleville Bulls",68,10,13,23,0.34,-13,2,2,4,0,118
"Brett MacLean",1988-12-24,"RW","Erie Otters",68,7,16,23,0.34,-4,1,5,2,0,31
"Jamie McGinn",1988-08-05,"LW","Ottawa 67's",59,10,12,22,0.37,4,3,0,0,0,35
"Nick Tuzzolino",1986-01-19,"D","Sarnia Sting",67,2,20,22,0.33,-30,2,11,0,0,128
"Cory Tanaka",1988-05-17,"C","Plymouth Whalers",67,10,11,21,0.31,3,1,0,1,0,49
"Jordan Foreman",1987-01-06,"C","London Knights",63,11,8,19,0.3,20,1,0,0,0,87
"J.F. Houle",1987-06-21,"RW","Brampton Battalion",51,7,12,19,0.37,-1,0,0,0,0,21
"John Armstrong",1988-02-26,"C","Plymouth Whalers",52,6,13,19,0.37,0,1,0,1,0,39
"Ryan McInerney",1988-05-31,"C","Sault Ste. Marie Greyhounds",64,5,13,18,0.28,-20,2,6,1,0,24
"Vladimir Svacina",1987-04-28,"RW","Mississauga IceDogs",61,5,12,17,0.28,8,0,0,2,0,14
"Andrew Marshall",1986-08-07,"D","Barrie Colts",65,3,14,17,0.26,13,0,2,1,0,42
"Scott Giles",1987-01-19,"C","Owen Sound Attack",58,6,10,16,0.28,5,0,1,1,0,2
"Kelly Thomson",1985-04-14,"LW","London Knights",56,9,6,15,0.27,6,0,0,2,0,161
"Aaron Snow",1988-05-20,"LW","Brampton Battalion",61,8,7,15,0.25,-5,0,0,1,0,35
"Devin DiDiomete",1988-05-09,"LW","Sudbury Wolves",58,7,8,15,0.26,-2,0,0,1,0,113
"Andrew Fournier",1987-11-05,"LW","Plymouth Whalers",34,6,9,15,0.44,1,1,3,0,0,30
"Colin Hanley",1987-06-10,"RW","Owen Sound Attack",60,6,9,15,0.25,4,2,1,1,0,23
"Matt Corrente",1988-03-17,"D","Saginaw Spirit",62,6,9,15,0.24,-38,1,2,3,0,89
"Nathan Martine",1988-05-24,"D","Barrie Colts",48,3,12,15,0.31,2,1,3,0,0,46
