"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Landon Miller","6.05",202,"Soo Greyhounds",2006-01-03,1,8,8,1,15.96,0,0,0,1,0,0,0,0,0,0,0
"Owen Willmore","6.03",180,"London Knights",2004-12-14,3,28,29,0.966,25.18,1,0.87,0,1,0,0,0,0,0,0,0
"Andrew Oke","6.02",190,"Saginaw Spirit",2004-03-26,6,151,161,0.938,29.4,10,1.83,1,5,0,0,0,0,0,0,0
"Ryerson Leenders","6.01",182,"Mississauga Steelheads",2006-06-01,2,42,45,0.933,30.98,3,2.07,0,0,1,0,1,0,0,0,0
"Charlie Schenkel","6.05.",203,"Soo Greyhounds",2004-08-16,11,261,286,0.913,27.05,25,2.36,2,6,3,1,4,0,0,0,0
"Dom DiVincentiis","6.03",200,"North Bay Battalion",2004-03-04,2,27,30,0.9,24.63,3,2.46,0,1,0,0,0,0,0,0,0
"Sam Hillebrandt","6.01",170,"Barrie Colts",2005-02-21,5,196,209,0.938,39.86,13,2.48,1,2,2,1,3,0,0,0,0
"Michael Simpson","6.01",198,"London Knights",2003-02-09,18,445,490,0.908,28.18,45,2.59,1,15,2,0,2,0,0,0,0
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,15,438,479,0.914,31.28,41,2.68,1,10,5,0,5,0,0,0,0
"Marcus Vandenberg","5.11",172,"Sudbury Wolves",2004-04-25,4,86,96,0.896,26.7,10,2.78,0,1,2,0,2,0,0,0,0
"Nolan Lalonde","6.02",197,"Saginaw Spirit",2004-02-14,12,267,299,0.893,26.04,32,2.79,0,5,7,0,7,0,0,0,0
"JJ Salajko","6.01",191,"Kingston Frontenacs",2006-07-28,1,10,12,0.833,18,2,3,0,0,0,0,0,0,0,0,0
"Nathan Day","6.04",205,"Flint Firebirds",2005-02-04,4,110,123,0.894,29.73,13,3.14,0,0,3,1,4,0,0,0,0
"Ben Gaudreau","6.02",172,"Erie Otters",2003-01-11,4,125,139,0.899,31.4,14,3.16,0,1,0,3,3,0,0,0,0
"Jacob Oster","6.03",190,"Oshawa Generals",2004-03-26,21,588,657,0.895,31.03,69,3.26,2,12,6,3,9,0,0,0,0
"Collin MacKenzie","6.00",175,"Ottawa 67's",2004-11-30,10,300,337,0.89,32.66,37,3.59,0,4,5,1,6,0,0,0,0
"Jakub Vondras","6.04",190,"Sudbury Wolves",2004-05-21,6,137,157,0.873,28.4,20,3.62,1,3,2,1,3,0,0,0,0
"Jackson Parsons","6.02",202,"Kitchener Rangers",2004-11-23,10,278,317,0.877,30.67,39,3.77,0,4,6,0,6,0,0,0,0
"Matteo Drobac","6.02",199,"Brantford Bulldogs",2003-08-07,6,159,182,0.874,29.97,23,3.79,0,2,3,1,4,0,0,0,0
"Ben West","6.03",156,"Barrie Colts",2003-04-04,1,42,46,0.913,46.89,4,4.08,0,0,1,0,1,0,0,0,0
"Carter George","6.02",195,"Owen Sound Attack",2006-05-20,4,151,167,0.904,42.61,16,4.08,0,0,4,0,4,0,0,0,0
"Damian Slavik","6.04",185,"Guelph Storm",2005-06-09,2,41,49,0.837,25.05,8,4.09,0,0,2,0,2,0,0,0,0
"Noah Bender","6.04",195,"Oshawa Generals",2006-06-30,3,27,32,0.844,27.11,5,4.24,0,0,0,0,0,0,0,0,0
"Mason Vaccari","5.11",184,"Kingston Frontenacs",2005-04-29,5,93,112,0.83,26.14,19,4.44,0,1,4,0,4,0,0,0,0
"Brayden Gillespie","5.11",172,"Guelph Storm",2005-07-23,2,50,59,0.847,29.48,9,4.5,0,0,1,1,2,0,0,0,2
"Ethan Fraser","6.00",185,"Erie Otters",2003-01-10,2,51,60,0.85,30.14,9,4.52,0,1,1,0,1,0,0,0,0
"Jack Ivankovic","5.11",178,"Mississauga Steelheads",2007-05-22,4,128,145,0.883,41.21,17,4.83,0,1,2,1,3,0,0,0,0
